time,mean_precipitation
2015-01-01,12.5999994
2015-01-02,24.9300003
2015-01-03,22.9599972
2015-01-04,6.80999947
2015-01-05,11.5299997
2015-01-06,1.03499997
2015-01-07,0.339999974
2015-01-08,1.245
2015-01-09,0.319999993
2015-01-10,0.144999996
2015-01-11,0.289999992
2015-01-12,7.70999908
2015-01-13,3.875
2015-01-14,0.879999995
2015-01-15,7.85000038
2015-01-16,1.94499993
2015-01-17,3.96499968
2015-01-18,15.2049999
2015-01-19,10.6599989
2015-01-20,63.3499947
2015-01-21,16.7299976
2015-01-22,5.91000128
2015-01-23,0.850000024
2015-01-24,17.5750008
2015-01-25,19.7800026
2015-01-26,2.41999984
2015-01-27,2.11499977
2015-01-28,6.47500038
2015-01-29,20.5849991
2015-01-30,19.414999
2015-01-31,30.2149963
2015-02-01,65.9749756
2015-02-02,17.8299999
2015-02-03,16.1149998
2015-02-04,49.8099976
2015-02-05,27.8599968
2015-02-06,7.65499973
2015-02-07,25.2900047
2015-02-08,8.87499905
2015-02-09,5.64999962
2015-02-10,6.25499916
2015-02-11,0.430000007
2015-02-12,31.244997
2015-02-13,38.7549973
2015-02-14,1.8499999
2015-02-15,1.39499998
2015-02-16,0.174999997
2015-02-17,15.329999
2015-02-18,20.6850014
2015-02-19,32.9099998
2015-02-20,5.24999905
2015-02-21,0.264999986
2015-02-22,0.0900000036
2015-02-23,2.2099998
2015-02-24,0
2015-02-25,0.0299999993
2015-02-26,18.2449989
2015-02-27,1.66499996
2015-02-28,0.444999993
2015-03-01,6.50500011
2015-03-02,45.545002
2015-03-03,14.1900005
2015-03-04,1.16999996
2015-03-05,1.78999996
2015-03-06,0.319999993
2015-03-07,6.5199995
2015-03-08,1.95499992
2015-03-09,1.95499992
2015-03-10,3.01499963
2015-03-11,0.824999928
2015-03-12,9.32499981
2015-03-13,6.20000076
2015-03-14,8.36499977
2015-03-15,15.9099998
2015-03-16,52.3099976
2015-03-17,5.25999975
2015-03-18,20.9899998
2015-03-19,2.44999981
2015-03-20,15.1550007
2015-03-21,9.00999928
2015-03-22,2.01499987
2015-03-23,0
2015-03-24,0.194999993
2015-03-25,9.16499996
2015-03-26,1.78499985
2015-03-27,0
2015-03-28,7.92999935
2015-03-29,0.0249999985
2015-03-30,0
2015-03-31,17.8099976
2015-04-01,6.80499935
2015-04-02,1.92999995
2015-04-03,17.829998
2015-04-04,1.21999991
2015-04-05,0
2015-04-06,28.6000023
2015-04-07,7.56500053
2015-04-08,1.52499998
2015-04-09,0
2015-04-10,0
2015-04-11,1.33999991
2015-04-12,21.1150017
2015-04-13,2.78000021
2015-04-14,4.18000031
2015-04-15,6.29999971
2015-04-16,12.8799992
2015-04-17,4.12999964
2015-04-18,47.0500069
2015-04-19,9.13999939
2015-04-20,5.32999945
2015-04-21,1.625
2015-04-22,1.35500002
2015-04-23,4.55999994
2015-04-24,4.1699996
2015-04-25,7.17000008
2015-04-26,28.2049999
2015-04-27,11.4000015
2015-04-28,5.69499922
2015-04-29,2.07500005
2015-04-30,0.860000014
2015-05-01,16.3500004
2015-05-02,35.2400055
2015-05-03,13.9349995
2015-05-04,9.51000023
2015-05-05,0.435000002
2015-05-06,0.709999979
2015-05-07,0.959999979
2015-05-08,0
2015-05-09,0
2015-05-10,0
2015-05-11,0
2015-05-12,0
2015-05-13,0.675000012
2015-05-14,11.1699991
2015-05-15,12.6149979
2015-05-16,0
2015-05-17,0
2015-05-18,0
2015-05-19,0
2015-05-20,0
2015-05-21,0
2015-05-22,0
2015-05-23,0
2015-05-24,0
2015-05-25,0
2015-05-26,0.494999975
2015-05-27,0
2015-05-28,0
2015-05-29,0
2015-05-30,0
2015-05-31,0
2015-06-01,0
2015-06-02,0
2015-06-03,0
2015-06-04,0.0850000009
2015-06-05,0
2015-06-06,0.264999986
2015-06-07,2.59500003
2015-06-08,3.25499964
2015-06-09,8.81999969
2015-06-10,2.00999975
2015-06-11,0.0799999982
2015-06-12,0
2015-06-13,0
2015-06-14,0
2015-06-15,0
2015-06-16,0
2015-06-17,0
2015-06-18,0
2015-06-19,0.0399999991
2015-06-20,0.144999996
2015-06-21,0
2015-06-22,0
2015-06-23,0
2015-06-24,0
2015-06-25,0
2015-06-26,0
2015-06-27,0
2015-06-28,0
2015-06-29,0
2015-06-30,0
2015-07-01,0
2015-07-02,0
2015-07-03,0
2015-07-04,0
2015-07-05,0
2015-07-06,0
2015-07-07,0
2015-07-08,0
2015-07-09,0.105000004
2015-07-10,0.13499999
2015-07-11,0
2015-07-12,0.13499999
2015-07-13,0
2015-07-14,0.444999993
2015-07-15,0
2015-07-16,0
2015-07-17,0
2015-07-18,0
2015-07-19,0
2015-07-20,0
2015-07-21,0
2015-07-22,0
2015-07-23,0
2015-07-24,0
2015-07-25,0
2015-07-26,0
2015-07-27,0
2015-07-28,0
2015-07-29,0
2015-07-30,0
2015-07-31,0
2015-08-01,0
2015-08-02,0
2015-08-03,0
2015-08-04,0
2015-08-05,0
2015-08-06,0
2015-08-07,0
2015-08-08,0.340000004
2015-08-09,0
2015-08-10,0
2015-08-11,0
2015-08-12,0
2015-08-13,0
2015-08-14,0
2015-08-15,0
2015-08-16,0
2015-08-17,0
2015-08-18,0
2015-08-19,0
2015-08-20,0
2015-08-21,0
2015-08-22,0
2015-08-23,0
2015-08-24,0
2015-08-25,0
2015-08-26,0
2015-08-27,0
2015-08-28,0
2015-08-29,0
2015-08-30,0
2015-08-31,0
2015-09-01,0
2015-09-02,0
2015-09-03,0
2015-09-04,0
2015-09-05,0
2015-09-06,0
2015-09-07,0
2015-09-08,0
2015-09-09,0
2015-09-10,0
2015-09-11,0
2015-09-12,0
2015-09-13,0
2015-09-14,0
2015-09-15,0
2015-09-16,5.75
2015-09-17,0
2015-09-18,0
2015-09-19,0
2015-09-20,0
2015-09-21,0
2015-09-22,0
2015-09-23,0
2015-09-24,0
2015-09-25,0
2015-09-26,0
2015-09-27,0
2015-09-28,0
2015-09-29,0
2015-09-30,0
2015-10-01,0
2015-10-02,0
2015-10-03,0
2015-10-04,0
2015-10-05,0
2015-10-06,0
2015-10-07,11.289999
2015-10-08,0
2015-10-09,0
2015-10-10,0
2015-10-11,0
2015-10-12,0
2015-10-13,0
2015-10-14,0
2015-10-15,0
2015-10-16,0
2015-10-17,0
2015-10-18,0.229999989
2015-10-19,13.2649994
2015-10-20,0
2015-10-21,0
2015-10-22,0
2015-10-23,0
2015-10-24,0
2015-10-25,0
2015-10-26,0
2015-10-27,0
2015-10-28,0
2015-10-29,0
2015-10-30,0
2015-10-31,0
2015-11-01,0
2015-11-02,0
2015-11-03,0
2015-11-04,0
2015-11-05,0
2015-11-06,13.335001
2015-11-07,6.75499964
2015-11-08,49.7799988
2015-11-09,0
2015-11-10,6.23999977
2015-11-11,0
2015-11-12,4.86999989
2015-11-13,11.2249994
2015-11-14,0
2015-11-15,0.0199999996
2015-11-16,0.659999967
2015-11-17,15.5199986
2015-11-18,0
2015-11-19,0.629999995
2015-11-20,1.29999995
2015-11-21,0.185000002
2015-11-22,0.299999982
2015-11-23,0
2015-11-24,0
2015-11-25,0
2015-11-26,0.210000008
2015-11-27,6.21000004
2015-11-28,4.42999983
2015-11-29,23.1100025
2015-11-30,0.564999998
2015-12-01,1.04999995
2015-12-02,2.17499971
2015-12-03,6.13499928
2015-12-04,0.174999982
2015-12-05,3.89499998
2015-12-06,55.1300011
2015-12-07,2.69000006
2015-12-08,27.3849983
2015-12-09,8.68500042
2015-12-10,1.94500017
2015-12-11,25.7550011
2015-12-12,11.8950024
2015-12-13,36.9149971
2015-12-14,13.0300007
2015-12-15,8.24499893
2015-12-16,33.329998
2015-12-17,18.4749985
2015-12-18,5.74499989
2015-12-19,0.179999992
2015-12-20,19.0450001
2015-12-21,4.09499979
2015-12-22,0.124999993
2015-12-23,0.49000001
2015-12-24,0.0599999987
2015-12-25,1.8499999
2015-12-26,5.13999939
2015-12-27,9.0150013
2015-12-28,6.51499987
2015-12-29,1.61999989
2015-12-30,10.710001
2015-12-31,0.954999983
2016-01-01,4.29500008
2016-01-02,12.5099983
2016-01-03,0.890000045
2016-01-04,1.95999992
2016-01-05,5.22500038
2016-01-06,0.105000004
2016-01-07,0
2016-01-08,0.754999995
2016-01-09,0.714999914
2016-01-10,0.670000017
2016-01-11,6.94999981
2016-01-12,2.6900003
2016-01-13,18.4699993
2016-01-14,4.13499975
2016-01-15,13.1099997
2016-01-16,4.86499977
2016-01-17,5.43000031
2016-01-18,2.82999969
2016-01-19,12.1849976
2016-01-20,55.5950012
2016-01-21,9.22000122
2016-01-22,45.0599976
2016-01-23,25.0099983
2016-01-24,8.82999992
2016-01-25,7.88500023
2016-01-26,8.41499901
2016-01-27,12.8999996
2016-01-28,1.88499975
2016-01-29,38.5149994
2016-01-30,18.1600018
2016-01-31,3.45499992
2016-02-01,18.5849991
2016-02-02,12.3499985
2016-02-03,18.0700035
2016-02-04,23.8050003
2016-02-05,12.7400007
2016-02-06,49.75
2016-02-07,48.5950089
2016-02-08,64.5499878
2016-02-09,31.5599937
2016-02-10,16.0300007
2016-02-11,11.21
2016-02-12,13.5649986
2016-02-13,8.86499882
2016-02-14,28.079998
2016-02-15,3.9599998
2016-02-16,17.8449974
2016-02-17,0.769999862
2016-02-18,5.94500017
2016-02-19,0
2016-02-20,2.56500006
2016-02-21,7.56499958
2016-02-22,7.17000008
2016-02-23,10.9200001
2016-02-24,16.2350006
2016-02-25,4.66499949
2016-02-26,1.02499998
2016-02-27,3.375
2016-02-28,17.3999958
2016-02-29,29.2400017
2016-03-01,70.3249969
