time,mean_precipitation
2015-01-01,8.56000042
2015-01-02,23.3599968
2015-01-03,15.7950001
2015-01-04,3.55999994
2015-01-05,9.00500011
2015-01-06,0.099999994
2015-01-07,0.120000005
2015-01-08,0.254999995
2015-01-09,0.25999999
2015-01-10,0
2015-01-11,0.280000001
2015-01-12,2.875
2015-01-13,10.5549984
2015-01-14,0.705000043
2015-01-15,7.59000015
2015-01-16,8.26500034
2015-01-17,3.07999992
2015-01-18,23.4149971
2015-01-19,17.3199959
2015-01-20,30.5400009
2015-01-21,14.4949989
2015-01-22,6.69999886
2015-01-23,0.400000036
2015-01-24,0.114999995
2015-01-25,24.420002
2015-01-26,2.42999983
2015-01-27,1.21499991
2015-01-28,0.850000024
2015-01-29,10.5249987
2015-01-30,50.3699951
2015-01-31,66.9199905
2015-02-01,61.0850029
2015-02-02,8.53499985
2015-02-03,6.4199996
2015-02-04,6.58500004
2015-02-05,48.9949951
2015-02-06,4.32000017
2015-02-07,5.95000029
2015-02-08,27.6450005
2015-02-09,21.9650021
2015-02-10,5.47499895
2015-02-11,1.7700001
2015-02-12,43.8550034
2015-02-13,55.1249924
2015-02-14,6.74999905
2015-02-15,2.45500016
2015-02-16,0.795000076
2015-02-17,14.2299986
2015-02-18,10.7250004
2015-02-19,36.6750031
2015-02-20,7.84000111
2015-02-21,0
2015-02-22,0
2015-02-23,0.729999959
2015-02-24,0
2015-02-25,1.97000003
2015-02-26,7.38000011
2015-02-27,0.709999979
2015-02-28,3.32500005
2015-03-01,12.7299995
2015-03-02,52.7799988
2015-03-03,5.17000008
2015-03-04,1.14499998
2015-03-05,2.31500006
2015-03-06,0.835000038
2015-03-07,6.19999886
2015-03-08,1.43499994
2015-03-09,4.42999983
2015-03-10,0.114999995
2015-03-11,2.50999975
2015-03-12,8.63999939
2015-03-13,16.3049984
2015-03-14,8.15999985
2015-03-15,22.2350025
2015-03-16,4.82499981
2015-03-17,0.0649999976
2015-03-18,16.5450001
2015-03-19,0.25999999
2015-03-20,18.1450005
2015-03-21,6.125
2015-03-22,2
2015-03-23,0
2015-03-24,6.55499983
2015-03-25,2.19499993
2015-03-26,3.16999984
2015-03-27,0.324999988
2015-03-28,1.77499986
2015-03-29,0.560000002
2015-03-30,0
2015-03-31,25.2900009
2015-04-01,3.5
2015-04-02,6.22999954
2015-04-03,35.9499855
2015-04-04,1.51999974
2015-04-05,0.644999981
2015-04-06,16.9650021
2015-04-07,21.2150002
2015-04-08,10.2400007
2015-04-09,0.275000006
2015-04-10,0
2015-04-11,0
2015-04-12,13.0349998
2015-04-13,4.4749999
2015-04-14,16.6049976
2015-04-15,0.789999843
2015-04-16,5.25
2015-04-17,3.19499969
2015-04-18,16.6600018
2015-04-19,10.0750008
2015-04-20,2.76499987
2015-04-21,1.57000017
2015-04-22,3.97499943
2015-04-23,7.78999996
2015-04-24,6.39999962
2015-04-25,6.85999918
2015-04-26,30.1849995
2015-04-27,6.18499947
2015-04-28,2.16499996
2015-04-29,15.3199978
2015-04-30,0.560000002
2015-05-01,0.745000005
2015-05-02,24.5900002
2015-05-03,14.5050001
2015-05-04,2.33500004
2015-05-05,0
2015-05-06,1.06999993
2015-05-07,0.144999996
2015-05-08,0
2015-05-09,0
2015-05-10,0
2015-05-11,0
2015-05-12,0.189999998
2015-05-13,1.63499987
2015-05-14,12.3549995
2015-05-15,37.1199989
2015-05-16,0
2015-05-17,0.0849999934
2015-05-18,0
2015-05-19,0
2015-05-20,0
2015-05-21,0
2015-05-22,0
2015-05-23,0
2015-05-24,0
2015-05-25,0
2015-05-26,0.199999988
2015-05-27,0
2015-05-28,0
2015-05-29,0
2015-05-30,0
2015-05-31,0.0549999997
2015-06-01,0
2015-06-02,0
2015-06-03,0
2015-06-04,0.685000002
2015-06-05,0
2015-06-06,0.215000004
2015-06-07,3.03999949
2015-06-08,2.49000001
2015-06-09,5.77999973
2015-06-10,0
2015-06-11,0.154999986
2015-06-12,0
2015-06-13,0
2015-06-14,0
2015-06-15,0
2015-06-16,0
2015-06-17,0
2015-06-18,0
2015-06-19,0.254999995
2015-06-20,0
2015-06-21,0
2015-06-22,0
2015-06-23,0
2015-06-24,0
2015-06-25,0
2015-06-26,0
2015-06-27,0
2015-06-28,0
2015-06-29,0
2015-06-30,0
2015-07-01,0
2015-07-02,0
2015-07-03,0
2015-07-04,0
2015-07-05,0
2015-07-06,0
2015-07-07,0
2015-07-08,0
2015-07-09,0.149999991
2015-07-10,0.149999991
2015-07-11,0
2015-07-12,4.23500013
2015-07-13,0
2015-07-14,0.835000038
2015-07-15,0
2015-07-16,0
2015-07-17,0
2015-07-18,0
2015-07-19,0
2015-07-20,0
2015-07-21,0
2015-07-22,0
2015-07-23,0
2015-07-24,0
2015-07-25,0
2015-07-26,0
2015-07-27,0
2015-07-28,0
2015-07-29,0
2015-07-30,0
2015-07-31,0
2015-08-01,0
2015-08-02,0
2015-08-03,0
2015-08-04,0
2015-08-05,0
2015-08-06,0
2015-08-07,0.140000001
2015-08-08,0
2015-08-09,0
2015-08-10,0
2015-08-11,0
2015-08-12,0
2015-08-13,0
2015-08-14,0
2015-08-15,0
2015-08-16,0
2015-08-17,0
2015-08-18,0
2015-08-19,0
2015-08-20,0
2015-08-21,0
2015-08-22,0
2015-08-23,0
2015-08-24,0
2015-08-25,0
2015-08-26,0
2015-08-27,0
2015-08-28,0
2015-08-29,0
2015-08-30,0
2015-08-31,0
2015-09-01,0
2015-09-02,0
2015-09-03,0
2015-09-04,0
2015-09-05,0
2015-09-06,0
2015-09-07,0
2015-09-08,0
2015-09-09,0
2015-09-10,0
2015-09-11,0
2015-09-12,0
2015-09-13,0
2015-09-14,0
2015-09-15,0
2015-09-16,2.56500006
2015-09-17,0
2015-09-18,0
2015-09-19,0
2015-09-20,0
2015-09-21,0
2015-09-22,0
2015-09-23,0
2015-09-24,0
2015-09-25,0
2015-09-26,0
2015-09-27,0
2015-09-28,0
2015-09-29,0
2015-09-30,0
2015-10-01,0
2015-10-02,0
2015-10-03,0
2015-10-04,0
2015-10-05,0
2015-10-06,0
2015-10-07,0
2015-10-08,0
2015-10-09,0
2015-10-10,0
2015-10-11,0
2015-10-12,0
2015-10-13,0
2015-10-14,0
2015-10-15,0
2015-10-16,0
2015-10-17,0
2015-10-18,0.00499999989
2015-10-19,6.76499939
2015-10-20,0.399999976
2015-10-21,0
2015-10-22,0
2015-10-23,0
2015-10-24,0
2015-10-25,0
2015-10-26,0
2015-10-27,0
2015-10-28,0
2015-10-29,0
2015-10-30,0
2015-10-31,0
2015-11-01,0
2015-11-02,0
2015-11-03,0
2015-11-04,0
2015-11-05,0
2015-11-06,10.5549994
2015-11-07,43.6049995
2015-11-08,6.2750001
2015-11-09,0
2015-11-10,0
2015-11-11,0.0399999991
2015-11-12,0
2015-11-13,2.98000002
2015-11-14,0
2015-11-15,0
2015-11-16,0.594999969
2015-11-17,1.91499972
2015-11-18,0.275000006
2015-11-19,0
2015-11-20,0
2015-11-21,0
2015-11-22,0
2015-11-23,0
2015-11-24,0
2015-11-25,0.439999998
2015-11-26,1.14499986
2015-11-27,0
2015-11-28,9.85499954
2015-11-29,37.5900002
2015-11-30,0
2015-12-01,0.714999974
2015-12-02,0.965000033
2015-12-03,4.68499994
2015-12-04,2.36999989
2015-12-05,0.74000001
2015-12-06,57.1799927
2015-12-07,9.1449995
2015-12-08,9.95000076
2015-12-09,1.69000006
2015-12-10,3.04999995
2015-12-11,28.5349998
2015-12-12,6.7050004
2015-12-13,7.0250001
2015-12-14,13.6249981
2015-12-15,6.70999908
2015-12-16,44.4149971
2015-12-17,29.154995
2015-12-18,8.02999973
2015-12-19,1.77499986
2015-12-20,28.2449951
2015-12-21,2.46999979
2015-12-22,0
2015-12-23,0
2015-12-24,0.0299999993
2015-12-25,0.560000002
2015-12-26,1.54999995
2015-12-27,5.85500002
2015-12-28,21.3950005
2015-12-29,3.02999973
2015-12-30,13.6499996
2015-12-31,2.43499994
2016-01-01,2.33999968
2016-01-02,4.43499994
2016-01-03,3.70000005
2016-01-04,0.75999999
2016-01-05,20.5499992
2016-01-06,0.105000004
2016-01-07,0
2016-01-08,0.174999997
2016-01-09,7.04999971
2016-01-10,3.54499984
2016-01-11,1.9749999
2016-01-12,3.96499968
2016-01-13,4.77499962
2016-01-14,1.29999995
2016-01-15,12.0150003
2016-01-16,0.329999983
2016-01-17,4.63000011
2016-01-18,2.26999998
2016-01-19,18.8199978
2016-01-20,45.9949989
2016-01-21,6.57500076
2016-01-22,67.4150085
2016-01-23,33.3900032
2016-01-24,9.2699995
2016-01-25,11.710001
2016-01-26,2.31500006
2016-01-27,7.52499962
2016-01-28,3.42000008
2016-01-29,12.1100006
2016-01-30,9.2300005
2016-01-31,5.85000038
2016-02-01,20.5499992
2016-02-02,13.6749992
2016-02-03,14.3549976
2016-02-04,33.9350052
2016-02-05,9.34500027
2016-02-06,100.419998
2016-02-07,27.9049988
2016-02-08,48.9750023
2016-02-09,30.5999985
2016-02-10,17.864996
2016-02-11,12.2650013
2016-02-12,17.0900002
2016-02-13,1.20999992
2016-02-14,12.4750023
2016-02-15,2.23999977
2016-02-16,21.7649994
2016-02-17,1.67000008
2016-02-18,5.59999943
2016-02-19,0
2016-02-20,9.38999939
2016-02-21,12.5049992
2016-02-22,3.04999995
2016-02-23,16.0900002
2016-02-24,65.4850006
2016-02-25,10.9000006
2016-02-26,4.77499962
2016-02-27,1.8599999
2016-02-28,29.0999985
2016-02-29,49.5149994
2016-03-01,72.6549988
2016-03-02,28.5450039
2016-03-03,0.909999967
2016-03-04,65.1450043
2016-03-05,14.835001
2016-03-06,26.7600002
2016-03-07,0.685000002
2016-03-08,5.73999977
2016-03-09,0.0850000009
2016-03-10,0.479999989
2016-03-11,4.98999977
2016-03-12,9.4649992
2016-03-13,1.51999974
2016-03-14,6.92499924
2016-03-15,1.66499996
2016-03-16,7.98999977
2016-03-17,8.27999973
2016-03-18,1.70000005
2016-03-19,1.29999995
2016-03-20,0.714999974
2016-03-21,1.06499994
2016-03-22,62.0949936
2016-03-23,14.125
2016-03-24,1.26499999
2016-03-25,3.84499979
2016-03-26,2.86999989
2016-03-27,0
2016-03-28,1.04499996
2016-03-29,5.01499891
2016-03-30,10.789999
2016-03-31,2.94000006
2016-04-01,0.925000012
2016-04-02,0.399999976
2016-04-03,8.49499989
2016-04-04,15.7600002
2016-04-05,1.9150002
2016-04-06,1.11500001
2016-04-07,0.25999999
2016-04-08,0.204999983
2016-04-09,14.5549984
2016-04-10,8.11000061
2016-04-11,0.899999976
2016-04-12,0.539999962
2016-04-13,2.6849997
2016-04-14,41.0599976
2016-04-15,14.2700005
2016-04-16,4.39999962
2016-04-17,8.69999981
2016-04-18,0.75
2016-04-19,16.6750011
2016-04-20,31.5349998
2016-04-21,3.51000023
2016-04-22,1.66499984
2016-04-23,1.57999992
2016-04-24,0.875
2016-04-25,7.2300005
2016-04-26,17.6949978
2016-04-27,10.665
2016-04-28,38.5349998
2016-04-29,3.42000008
2016-04-30,5.61999941
2016-05-01,13.3000002
2016-05-02,9.27499771
2016-05-03,0.769999981
2016-05-04,1.42999983
2016-05-05,3.23000002
2016-05-06,0.524999976
2016-05-07,0
2016-05-08,4.90999937
2016-05-09,3.51499987
2016-05-10,0.7700001
2016-05-11,4.3949995
2016-05-12,2.5
2016-05-13,0.464999974
2016-05-14,5.6899991
2016-05-15,7.56999969
2016-05-16,5.03999949
2016-05-17,0.174999982
2016-05-18,0
2016-05-19,0
2016-05-20,0
2016-05-21,11.5500002
2016-05-22,20.7900009
2016-05-23,0.139999986
2016-05-24,12.0599995
2016-05-25,0.129999995
2016-05-26,1.38499999
2016-05-27,30.0549965
2016-05-28,1.63999963
2016-05-29,67.8650055
2016-05-30,22.8549976
2016-05-31,6
2016-06-01,0.704999983
2016-06-02,23.1200008
2016-06-03,0.0599999987
2016-06-04,12.9949989
2016-06-05,0.204999983
2016-06-06,0
2016-06-07,1.91499996
2016-06-08,0
2016-06-09,1.77499986
2016-06-10,0
2016-06-11,0
2016-06-12,0
2016-06-13,0.0549999997
2016-06-14,8.57499981
2016-06-15,22.9100018
2016-06-16,2.85499978
2016-06-17,34.6399994
2016-06-18,27.170002
2016-06-19,5.68500042
2016-06-20,0
2016-06-21,9.3949995
2016-06-22,0.284999996
2016-06-23,0
2016-06-24,0
2016-06-25,0.0799999982
2016-06-26,0
2016-06-27,10.9099998
2016-06-28,1.99000001
2016-06-29,8.91999912
2016-06-30,0.199999988
2016-07-01,0.109999999
2016-07-02,2.2249999
2016-07-03,0
2016-07-04,0
2016-07-05,0
2016-07-06,0.199999988
2016-07-07,3.74000001
2016-07-08,0.219999999
2016-07-09,14.8699989
2016-07-10,7.99999952
2016-07-11,0.340000004
2016-07-12,4.92500019
2016-07-13,0.625
2016-07-14,6.61500072
2016-07-15,0
2016-07-16,0
2016-07-17,0.239999995
2016-07-18,0.409999967
2016-07-19,15.2650032
2016-07-20,22.6100025
2016-07-21,7.53499985
2016-07-22,1.78499985
2016-07-23,0
2016-07-24,66.9249954
2016-07-25,0
2016-07-26,0
2016-07-27,0.099999994
2016-07-28,1.58999991
2016-07-29,1.56499994
2016-07-30,0
2016-07-31,2.17999983
2016-08-01,0
2016-08-02,0
2016-08-03,0
2016-08-04,0
2016-08-05,0
2016-08-06,3.18000031
2016-08-07,0.099999994
2016-08-08,2.58500004
2016-08-09,0
2016-08-10,5.41499996
2016-08-11,0
2016-08-12,1.25999999
2016-08-13,12.4750004
2016-08-14,0.75
2016-08-15,14.9750004
2016-08-16,7.88500023
2016-08-17,10.1100006
2016-08-18,0.524999976
2016-08-19,0
2016-08-20,0
2016-08-21,0.00999999978
2016-08-22,0
2016-08-23,0
2016-08-24,0.299999982
2016-08-25,0.25
2016-08-26,30.4249992
2016-08-27,13.125
2016-08-28,5.16499996
2016-08-29,13.6699991
2016-08-30,9.17000008
2016-08-31,5.16499996
2016-09-01,0
2016-09-02,0.804999948
2016-09-03,0
2016-09-04,1.71499991
2016-09-05,0
2016-09-06,1.53500009
2016-09-07,22.5499973
2016-09-08,1.38000011
2016-09-09,2.19499993
2016-09-10,0
2016-09-11,0.284999996
2016-09-12,0
2016-09-13,0
2016-09-14,1.6099999
2016-09-15,0
2016-09-16,20.0650005
2016-09-17,8.53499985
2016-09-18,0
2016-09-19,8.50500011
2016-09-20,0.439999998
2016-09-21,0.215000004
2016-09-22,5.32999992
2016-09-23,49.3300018
2016-09-24,13.5300007
2016-09-25,8.72499943
2016-09-26,37.9350052
2016-09-27,26.3050003
2016-09-28,6.88499928
2016-09-29,0.810000062
2016-09-30,9.75499916
2016-10-01,6.63000011
2016-10-02,18.2949963
2016-10-03,0.529999971
2016-10-04,4.13499975
2016-10-05,0.400000036
2016-10-06,0.049999997
2016-10-07,1.48999989
2016-10-08,40.6899986
2016-10-09,27.8599968
2016-10-10,16.9400024
2016-10-11,8.51500034
2016-10-12,17.3150024
2016-10-13,0.980000019
2016-10-14,1.35500014
2016-10-15,0
2016-10-16,0
2016-10-17,0.00499999989
