time,mean_precipitation
2015-01-01,11.3400011
2015-01-02,18.7549992
2015-01-03,18.9450016
2015-01-04,5.30499983
2015-01-05,18.494997
2015-01-06,1.17999995
2015-01-07,0.399999976
2015-01-08,0.185000002
2015-01-09,0.430000007
2015-01-10,0.534999967
2015-01-11,0.324999988
2015-01-12,6.65500069
2015-01-13,5.75
2015-01-14,0.894999981
2015-01-15,6.91500092
2015-01-16,3.23000002
2015-01-17,3.39499998
2015-01-18,26.3549995
2015-01-19,14.9099998
2015-01-20,50.6500053
2015-01-21,13.1099968
2015-01-22,6.97999954
2015-01-23,1.12
2015-01-24,1.94499993
2015-01-25,20.789999
2015-01-26,3.38999987
2015-01-27,0.825000048
2015-01-28,3.83500051
2015-01-29,16.25
2015-01-30,41.1800003
2015-01-31,54.7449989
2015-02-01,53.3500099
2015-02-02,9.60500145
2015-02-03,18.5000019
2015-02-04,21.8349972
2015-02-05,49.0649986
2015-02-06,7.07000065
2015-02-07,4.85999966
2015-02-08,17.6800003
2015-02-09,3.51499987
2015-02-10,2.46499991
2015-02-11,0.61500001
2015-02-12,35.5600014
2015-02-13,35.9399986
2015-02-14,4.4000001
2015-02-15,2.74499989
2015-02-16,2.95500016
2015-02-17,21.7399979
2015-02-18,19.4749985
2015-02-19,36.279995
2015-02-20,9.34000015
2015-02-21,0.00499999989
2015-02-22,0.625
2015-02-23,0.249999985
2015-02-24,0
2015-02-25,0.180000007
2015-02-26,4.95499992
2015-02-27,0.00499999989
2015-02-28,2.47000003
2015-03-01,4.44499969
2015-03-02,45.5949936
2015-03-03,12.9949989
2015-03-04,1.68499982
2015-03-05,1.88999987
2015-03-06,1.55000019
2015-03-07,4.32500029
2015-03-08,1.18499994
2015-03-09,4.17999983
2015-03-10,1.41000009
2015-03-11,0.334999979
2015-03-12,3.21500015
2015-03-13,4.50500059
2015-03-14,7.5449996
2015-03-15,14.6150007
2015-03-16,15.2449989
2015-03-17,2.33500004
2015-03-18,13.4249992
2015-03-19,0.129999995
2015-03-20,17.8899994
2015-03-21,5.27999973
2015-03-22,2.2349999
2015-03-23,0
2015-03-24,1.99500012
2015-03-25,13.8849993
2015-03-26,3.17499971
2015-03-27,0
2015-03-28,6.90999985
2015-03-29,0
2015-03-30,0.00999999978
2015-03-31,35.4949989
2015-04-01,7.34000015
2015-04-02,5.20999956
2015-04-03,23.1199989
2015-04-04,12.2600002
2015-04-05,0
2015-04-06,15.7200012
2015-04-07,17.9549999
2015-04-08,5.14999962
2015-04-09,0
2015-04-10,0
2015-04-11,0.569999993
2015-04-12,6.26000023
2015-04-13,2.61500001
2015-04-14,10.1850014
2015-04-15,0.574999988
2015-04-16,6.18500042
2015-04-17,12.1000004
2015-04-18,17.9849987
2015-04-19,19.8050003
2015-04-20,9.13000011
2015-04-21,0.144999996
2015-04-22,2.57999992
2015-04-23,7.82999992
2015-04-24,4.14000034
2015-04-25,10.420001
2015-04-26,38.3449974
2015-04-27,10.2550011
2015-04-28,5.03000021
2015-04-29,8.40999889
2015-04-30,0.310000002
2015-05-01,0.815000057
2015-05-02,27.1099968
2015-05-03,14.4549999
2015-05-04,15.5649986
2015-05-05,0.909999967
2015-05-06,1.68999982
2015-05-07,4.36000013
2015-05-08,0
2015-05-09,0
2015-05-10,0
2015-05-11,0
2015-05-12,0
2015-05-13,0.949999988
2015-05-14,8.20499897
2015-05-15,33.5400009
2015-05-16,0
2015-05-17,0
2015-05-18,0
2015-05-19,0
2015-05-20,0
2015-05-21,0
2015-05-22,0
2015-05-23,0
2015-05-24,0
2015-05-25,0
2015-05-26,1.255
2015-05-27,0
2015-05-28,0
2015-05-29,0
2015-05-30,0
2015-05-31,0
2015-06-01,0
2015-06-02,0.339999974
2015-06-03,0
2015-06-04,0
2015-06-05,0
2015-06-06,0.0249999985
2015-06-07,3.43499994
2015-06-08,1.74499989
2015-06-09,5.89999962
2015-06-10,0.855000019
2015-06-11,0.0749999955
2015-06-12,0
2015-06-13,0
2015-06-14,0
2015-06-15,0
2015-06-16,0
2015-06-17,0
2015-06-18,0
2015-06-19,0.049999997
2015-06-20,0
2015-06-21,0
2015-06-22,0
2015-06-23,0
2015-06-24,0
2015-06-25,0
2015-06-26,0
2015-06-27,0
2015-06-28,0
2015-06-29,0
2015-06-30,0
2015-07-01,0
2015-07-02,0
2015-07-03,0
2015-07-04,0
2015-07-05,0
2015-07-06,0
2015-07-07,0
2015-07-08,0
2015-07-09,0
2015-07-10,0.299999982
2015-07-11,0.444999993
2015-07-12,2.23500013
2015-07-13,0
2015-07-14,0
2015-07-15,0
2015-07-16,0
2015-07-17,0
2015-07-18,0
2015-07-19,0
2015-07-20,0
2015-07-21,0
2015-07-22,0
2015-07-23,0
2015-07-24,0
2015-07-25,0
2015-07-26,0
2015-07-27,0
2015-07-28,0
2015-07-29,0
2015-07-30,0
2015-07-31,0
2015-08-01,0
2015-08-02,0
2015-08-03,0
2015-08-04,0
2015-08-05,0
2015-08-06,0
2015-08-07,0
2015-08-08,0
2015-08-09,0
2015-08-10,0
2015-08-11,0
2015-08-12,0
2015-08-13,0
2015-08-14,0
2015-08-15,0
2015-08-16,0
2015-08-17,0
2015-08-18,0
2015-08-19,0
2015-08-20,0
2015-08-21,0
2015-08-22,0
2015-08-23,0
2015-08-24,0
2015-08-25,0
2015-08-26,0
2015-08-27,0
2015-08-28,0
2015-08-29,0
2015-08-30,0
2015-08-31,0
2015-09-01,0
2015-09-02,0
2015-09-03,0
2015-09-04,0
2015-09-05,0
2015-09-06,0
2015-09-07,0
2015-09-08,0
