time,mean_precipitation
2015-01-01,13.1599998
2015-01-02,23.5549965
2015-01-03,21.8599987
2015-01-04,6.97500038
2015-01-05,9.01000023
2015-01-06,1.35000002
2015-01-07,0.219999999
2015-01-08,1.97000003
2015-01-09,0.099999994
2015-01-10,0.184999987
2015-01-11,0.289999992
2015-01-12,8.50500011
2015-01-13,3.29500008
2015-01-14,0.825000048
2015-01-15,2.84999967
2015-01-16,1.65499997
2015-01-17,2.50999951
2015-01-18,13.5849991
2015-01-19,11.1549988
2015-01-20,60.7249985
2015-01-21,18.454998
2015-01-22,5.97000027
2015-01-23,1.62499988
2015-01-24,33.8599968
2015-01-25,13.9699993
2015-01-26,10.0999994
2015-01-27,2.50500011
2015-01-28,7.62499952
2015-01-29,23.9650002
2015-01-30,16.6549988
2015-01-31,18.0300026
2015-02-01,58.625
2015-02-02,15.4899998
2015-02-03,16.875
2015-02-04,36.7550011
2015-02-05,17.414999
2015-02-06,14.1749992
2015-02-07,25.0349998
2015-02-08,2.31999993
2015-02-09,10.039999
2015-02-10,2.80499959
2015-02-11,0.314999998
2015-02-12,26.6800003
2015-02-13,40.0900078
2015-02-14,1.39499998
2015-02-15,0.375
2015-02-16,0
2015-02-17,11.7950001
2015-02-18,26.135004
2015-02-19,32.7499962
2015-02-20,4.18499994
2015-02-21,0
2015-02-22,0
2015-02-23,2.66999984
2015-02-24,0
2015-02-25,0
2015-02-26,28.7649956
2015-02-27,37.9700012
2015-02-28,6.03999901
2015-03-01,6.68000031
2015-03-02,40.5050011
2015-03-03,13.3799992
2015-03-04,0.894999981
2015-03-05,1.82500005
2015-03-06,0.529999971
2015-03-07,6.89999962
2015-03-08,1.28499997
2015-03-09,4.57999992
2015-03-10,1.9599998
2015-03-11,1.26999986
2015-03-12,11.0950003
2015-03-13,8.53499985
2015-03-14,2.25500011
2015-03-15,30.7099991
2015-03-16,44.7849998
2015-03-17,6.09499931
2015-03-18,20.9050007
2015-03-19,3.59000015
2015-03-20,10.9350014
2015-03-21,16.4950008
2015-03-22,3.42000008
2015-03-23,0.099999994
2015-03-24,0
2015-03-25,8.43999958
2015-03-26,2.40499997
2015-03-27,0
2015-03-28,8.42000008
2015-03-29,0.0350000001
2015-03-30,0.0249999985
2015-03-31,11.9250002
2015-04-01,47.2399979
2015-04-02,0.149999991
2015-04-03,17.2499981
2015-04-04,2.04999995
2015-04-05,0
2015-04-06,23.1250019
2015-04-07,6.81999969
2015-04-08,2.46999979
2015-04-09,0
2015-04-10,0
2015-04-11,2.50499988
2015-04-12,8.70499992
2015-04-13,3.67500019
2015-04-14,1.90499997
2015-04-15,5.94999981
2015-04-16,13.7350006
2015-04-17,3.79500008
2015-04-18,19.6150017
2015-04-19,9.0350008
2015-04-20,10.2049999
2015-04-21,4.31999969
2015-04-22,3.06999993
2015-04-23,4.07499981
2015-04-24,3.22500014
2015-04-25,7.25999832
2015-04-26,17.6450005
2015-04-27,8.87499905
2015-04-28,7.03499985
2015-04-29,5.03499985
2015-04-30,0.174999997
2015-05-01,6.76499939
2015-05-02,37.5099983
2015-05-03,22.6849995
2015-05-04,6.7949996
2015-05-05,0
2015-05-06,0.305000007
2015-05-07,1.48000002
2015-05-08,0
2015-05-09,0
2015-05-10,0
2015-05-11,0
2015-05-12,0
2015-05-13,0.855000019
2015-05-14,13.0699978
2015-05-15,8.69499969
2015-05-16,0
2015-05-17,0
2015-05-18,0
2015-05-19,0
2015-05-20,0
2015-05-21,0
2015-05-22,0
2015-05-23,0
2015-05-24,0
2015-05-25,0
2015-05-26,0.824999928
2015-05-27,0
2015-05-28,0
2015-05-29,0
2015-05-30,0
2015-05-31,0
2015-06-01,0.61500001
2015-06-02,0.0449999981
2015-06-03,0.0799999982
2015-06-04,0.300000012
2015-06-05,0
2015-06-06,0.555000007
2015-06-07,2.36000013
2015-06-08,2.86999989
2015-06-09,9.85999966
2015-06-10,2.2650001
2015-06-11,0.0949999988
2015-06-12,0
2015-06-13,0
2015-06-14,0
2015-06-15,0
2015-06-16,0
2015-06-17,0
2015-06-18,0
2015-06-19,0.00499999989
2015-06-20,0.155000001
2015-06-21,0
2015-06-22,0
2015-06-23,0
2015-06-24,0
2015-06-25,0
2015-06-26,0
2015-06-27,0.129999995
2015-06-28,0
2015-06-29,0
2015-06-30,0
2015-07-01,0
2015-07-02,0
2015-07-03,0
2015-07-04,0
2015-07-05,0
2015-07-06,0
2015-07-07,0
2015-07-08,0
2015-07-09,0.140000001
2015-07-10,1.28999996
2015-07-11,0
2015-07-12,0
2015-07-13,0
2015-07-14,0.889999986
2015-07-15,0
2015-07-16,0
2015-07-17,0
2015-07-18,0
2015-07-19,0
2015-07-20,0
2015-07-21,0
2015-07-22,0
2015-07-23,0
2015-07-24,0
2015-07-25,0
2015-07-26,0
2015-07-27,0
2015-07-28,0
2015-07-29,0
2015-07-30,0
2015-07-31,0.25999999
2015-08-01,0
2015-08-02,0
2015-08-03,0
2015-08-04,0
2015-08-05,0
2015-08-06,0
2015-08-07,0
2015-08-08,0.155000001
2015-08-09,0
2015-08-10,0
2015-08-11,0
2015-08-12,0
2015-08-13,0
2015-08-14,0
2015-08-15,0
2015-08-16,0
2015-08-17,0
2015-08-18,0
2015-08-19,0
2015-08-20,0
2015-08-21,0
2015-08-22,0
2015-08-23,0
2015-08-24,0
2015-08-25,0
2015-08-26,0
2015-08-27,0
2015-08-28,0
2015-08-29,0
2015-08-30,0
2015-08-31,0
2015-09-01,0
2015-09-02,0
2015-09-03,0
2015-09-04,0
2015-09-05,0
2015-09-06,0
2015-09-07,0
2015-09-08,0
2015-09-09,0
2015-09-10,0
2015-09-11,0
2015-09-12,0
