time,mean_precipitation
2015-01-01,11.0849991
2015-01-02,19.8400002
2015-01-03,19.9800014
2015-01-04,6.16499949
2015-01-05,13.5149994
2015-01-06,1.24999988
2015-01-07,0.290000021
2015-01-08,0.680000007
2015-01-09,0.24499999
2015-01-10,0.269999981
2015-01-11,0.399999976
2015-01-12,6.08000088
2015-01-13,4.63999987
2015-01-14,0.754999876
2015-01-15,7.56999969
2015-01-16,2.34500003
2015-01-17,2.77500033
2015-01-18,20.7699986
2015-01-19,15.5299969
2015-01-20,56.659996
2015-01-21,14.2700005
2015-01-22,3.71000004
2015-01-23,0.524999976
2015-01-24,8.0350008
2015-01-25,21.170002
2015-01-26,3.0999999
2015-01-27,0.875
2015-01-28,7.72999954
2015-01-29,19.4899998
2015-01-30,35.0650024
2015-01-31,44.0950012
2015-02-01,52.4299965
2015-02-02,11.835001
2015-02-03,18.4899979
2015-02-04,38.4650002
2015-02-05,37.2400017
2015-02-06,9.56499958
2015-02-07,18.3199997
2015-02-08,7.09500027
2015-02-09,4.89999962
2015-02-10,6.36999989
2015-02-11,0.899999976
2015-02-12,30.6800003
2015-02-13,38.4750061
2015-02-14,2.83500028
2015-02-15,1.38
2015-02-16,1.59000015
2015-02-17,5.99000025
2015-02-18,15.1099977
2015-02-19,36.6199989
2015-02-20,8.79999733
2015-02-21,0
2015-02-22,0.164999992
2015-02-23,0.979999959
2015-02-24,0
2015-02-25,0.0299999993
2015-02-26,5.54999971
2015-02-27,0
2015-02-28,2.13499975
2015-03-01,5.76499939
2015-03-02,44.9649963
2015-03-03,13.3999987
2015-03-04,1.26999998
2015-03-05,2.04500008
2015-03-06,1.51499999
2015-03-07,5.34499979
2015-03-08,2.13499975
2015-03-09,4.55999947
2015-03-10,1.42999995
2015-03-11,0.730000019
2015-03-12,9.15999985
2015-03-13,5.01499987
2015-03-14,8.77999973
2015-03-15,12.1750002
2015-03-16,27.4700012
2015-03-17,5.22500038
2015-03-18,19.0649986
2015-03-19,1.18999994
2015-03-20,14.5599995
2015-03-21,4.61499977
2015-03-22,1.27999985
2015-03-23,0
2015-03-24,0.129999995
2015-03-25,8.97999954
2015-03-26,1.09500003
2015-03-27,0
2015-03-28,6.93500042
2015-03-29,0
2015-03-30,0.0199999996
2015-03-31,24.4799995
2015-04-01,5.75999975
2015-04-02,4.8300004
2015-04-03,22.6799965
2015-04-04,1.82000005
2015-04-05,0
2015-04-06,13.9899998
2015-04-07,12.1499996
2015-04-08,4.46499968
2015-04-09,0
2015-04-10,0
2015-04-11,1.38499999
2015-04-12,7.7149992
2015-04-13,2.49999976
2015-04-14,21.4599972
2015-04-15,0.360000014
2015-04-16,6.03999996
2015-04-17,4.39999962
2015-04-18,21.085001
2015-04-19,13.0599995
2015-04-20,11.1399994
2015-04-21,0.25999999
2015-04-22,1.63499999
2015-04-23,6.93000031
2015-04-24,4.70999956
2015-04-25,10.9099998
2015-04-26,39.5000076
2015-04-27,12.3700018
2015-04-28,4.52000046
2015-04-29,4.36999989
2015-04-30,0.959999979
2015-05-01,13.0100002
2015-05-02,24.7549973
2015-05-03,20.1700001
2015-05-04,14.3200006
2015-05-05,0.75999999
2015-05-06,1.17999995
2015-05-07,1.76499987
2015-05-08,0
2015-05-09,0
2015-05-10,0
2015-05-11,0
2015-05-12,0
2015-05-13,0.88499999
2015-05-14,9.21999931
2015-05-15,21.6400013
2015-05-16,0
2015-05-17,0
2015-05-18,0
2015-05-19,0
2015-05-20,0
2015-05-21,0
2015-05-22,0
2015-05-23,0
2015-05-24,0
2015-05-25,0
2015-05-26,0.430000007
2015-05-27,0
2015-05-28,0
2015-05-29,0
2015-05-30,0
2015-05-31,0
2015-06-01,0
2015-06-02,0
2015-06-03,0
2015-06-04,0
2015-06-05,0
2015-06-06,0.105000004
2015-06-07,2.63499975
2015-06-08,2.375
2015-06-09,8.1099987
2015-06-10,1.04999995
2015-06-11,0.0799999982
2015-06-12,0
2015-06-13,0
2015-06-14,0
2015-06-15,0
2015-06-16,0
2015-06-17,0
2015-06-18,0
2015-06-19,0.00999999978
2015-06-20,0
2015-06-21,0
2015-06-22,0
2015-06-23,0
2015-06-24,0
2015-06-25,0
2015-06-26,0
2015-06-27,0
2015-06-28,0
2015-06-29,0
2015-06-30,0
2015-07-01,0
2015-07-02,0
2015-07-03,0
2015-07-04,0
2015-07-05,0
2015-07-06,0
2015-07-07,0
2015-07-08,0
2015-07-09,0
2015-07-10,0
2015-07-11,0
2015-07-12,1.03499997
2015-07-13,0
2015-07-14,0.199999988
2015-07-15,0
2015-07-16,0
2015-07-17,0
2015-07-18,0
2015-07-19,0
2015-07-20,0
2015-07-21,0
2015-07-22,0
2015-07-23,0
2015-07-24,0
2015-07-25,0
2015-07-26,0
2015-07-27,0
2015-07-28,0
2015-07-29,0
2015-07-30,0
2015-07-31,0
2015-08-01,0
2015-08-02,0
2015-08-03,0
2015-08-04,0
2015-08-05,0
2015-08-06,0
2015-08-07,0
2015-08-08,0.0949999988
2015-08-09,0
2015-08-10,0
2015-08-11,0
2015-08-12,0
2015-08-13,0
2015-08-14,0
2015-08-15,0
2015-08-16,0
2015-08-17,0
2015-08-18,0
2015-08-19,0
2015-08-20,0
2015-08-21,0
2015-08-22,0
2015-08-23,0
2015-08-24,0
2015-08-25,0
2015-08-26,0
2015-08-27,0
2015-08-28,0
2015-08-29,0
2015-08-30,0
2015-08-31,0
2015-09-01,0
2015-09-02,0
2015-09-03,0
2015-09-04,0
2015-09-05,0
2015-09-06,0
2015-09-07,0
2015-09-08,0
2015-09-09,0
2015-09-10,0
2015-09-11,0
2015-09-12,0
2015-09-13,0
2015-09-14,0
2015-09-15,0
2015-09-16,5.26499987
2015-09-17,0
2015-09-18,0
2015-09-19,0
2015-09-20,0
2015-09-21,0
2015-09-22,0
2015-09-23,0
2015-09-24,0
2015-09-25,0
2015-09-26,0
2015-09-27,0
2015-09-28,0
2015-09-29,0
2015-09-30,0
2015-10-01,0
2015-10-02,0
2015-10-03,0
2015-10-04,0
2015-10-05,0
2015-10-06,0
2015-10-07,0
2015-10-08,0
2015-10-09,0
2015-10-10,0
2015-10-11,0
2015-10-12,0
2015-10-13,0
2015-10-14,0
2015-10-15,0
2015-10-16,0
2015-10-17,0
2015-10-18,0.454999983
2015-10-19,16.3949986
2015-10-20,0
2015-10-21,0
2015-10-22,0
2015-10-23,0
2015-10-24,0
2015-10-25,0
2015-10-26,0
2015-10-27,0
2015-10-28,0
2015-10-29,0
2015-10-30,0
2015-10-31,0
2015-11-01,0
2015-11-02,0
2015-11-03,0
2015-11-04,0
2015-11-05,0
2015-11-06,2.78999996
2015-11-07,33.6550026
