time,mean_precipitation
2015-01-01,16.1299992
2015-01-02,11.000001
2015-01-03,9.74000072
2015-01-04,2
2015-01-05,8.23999977
2015-01-06,2.67499995
2015-01-07,0.975000024
2015-01-08,6.62999916
2015-01-09,0.249999985
2015-01-10,0.224999994
2015-01-11,2.13999987
2015-01-12,2.44499993
2015-01-13,4
2015-01-14,2.19499993
2015-01-15,8.6050005
2015-01-16,0
2015-01-17,2.39499974
2015-01-18,3.2099998
2015-01-19,9.44999886
2015-01-20,84.230011
2015-01-21,2.26499987
2015-01-22,0.184999987
2015-01-23,0.174999997
2015-01-24,43.1300087
2015-01-25,19.2849998
2015-01-26,6.61999941
2015-01-27,0.205000013
2015-01-28,23.3500023
2015-01-29,37.7449989
2015-01-30,24.8199997
2015-01-31,7.42999935
2015-02-01,37.204998
2015-02-02,21.6499977
2015-02-03,32.1049995
2015-02-04,39.904995
2015-02-05,8.19500065
2015-02-06,26.5149956
2015-02-07,42.3800011
2015-02-08,22.6099987
2015-02-09,0.0949999988
2015-02-10,2.59500003
2015-02-11,0.179999992
2015-02-12,41.7649994
2015-02-13,16.9899998
2015-02-14,0
2015-02-15,7.92999935
2015-02-16,2.20499992
2015-02-17,14.0300007
2015-02-18,31.1150017
2015-02-19,29.0349998
2015-02-20,2.41999984
2015-02-21,0.74000001
2015-02-22,0.0949999988
2015-02-23,1.37999988
2015-02-24,0
2015-02-25,1.21499991
2015-02-26,23.5749989
2015-02-27,12.2199993
2015-02-28,0.975000024
2015-03-01,2.39499998
2015-03-02,28.6399994
2015-03-03,9.80000019
2015-03-04,6.35500002
2015-03-05,5.29999971
2015-03-06,3.77999973
2015-03-07,6.00500011
2015-03-08,1.54999971
2015-03-09,4.83500004
2015-03-10,5.21999979
2015-03-11,2.31500006
2015-03-12,8.60999966
2015-03-13,5.05999994
2015-03-14,21.170002
2015-03-15,30.8600006
2015-03-16,15.8600006
2015-03-17,12.5550003
2015-03-18,33.9050026
2015-03-19,9.85999966
2015-03-20,9.61999989
2015-03-21,24.0400009
2015-03-22,10.4750004
2015-03-23,0
2015-03-24,0.524999976
2015-03-25,14.4250002
2015-03-26,2.27499986
2015-03-27,0
2015-03-28,9.73499966
2015-03-29,0.970000029
2015-03-30,1.49000001
2015-03-31,29.9599991
2015-04-01,12.4449997
2015-04-02,4.08499956
2015-04-03,7.94999886
2015-04-04,25.6799984
2015-04-05,0
2015-04-06,14.2200012
2015-04-07,5.50499964
2015-04-08,2.32999992
2015-04-09,0
2015-04-10,0
2015-04-11,5.68000031
2015-04-12,26.5849991
2015-04-13,0.914999962
2015-04-14,26.9199982
2015-04-15,16.7250004
2015-04-16,5.19499969
2015-04-17,9.50500107
2015-04-18,25.4800014
2015-04-19,9.82000065
2015-04-20,6.44499969
2015-04-21,10.9849987
2015-04-22,0.620000005
2015-04-23,5.5199995
2015-04-24,4.625
2015-04-25,1.40999997
2015-04-26,21.9849987
2015-04-27,13.6699991
2015-04-28,17.3950005
2015-04-29,7.61499977
2015-04-30,0.25999999
2015-05-01,26.7999973
2015-05-02,22.3649979
2015-05-03,25.5049973
2015-05-04,19.7700005
2015-05-05,0
2015-05-06,0.544999957
2015-05-07,0
2015-05-08,0
2015-05-09,0
2015-05-10,0
2015-05-11,0
2015-05-12,0
2015-05-13,0.129999995
2015-05-14,20
2015-05-15,2.38999987
2015-05-16,0
2015-05-17,0
2015-05-18,0
2015-05-19,0
2015-05-20,0
2015-05-21,0
2015-05-22,0
2015-05-23,0
2015-05-24,0
2015-05-25,0
2015-05-26,0
