time,mean_precipitation
2015-01-01,14.7800007
2015-01-02,11.2049999
2015-01-03,9.1099987
2015-01-04,3.44999981
2015-01-05,7.03999996
2015-01-06,4.13499975
2015-01-07,0.699999928
2015-01-08,6.40499973
2015-01-09,0
2015-01-10,0.0649999976
2015-01-11,0.584999979
2015-01-12,3.13999987
2015-01-13,5.33499956
2015-01-14,2.66499996
2015-01-15,7.09000015
2015-01-16,0.410000026
2015-01-17,0.0350000001
2015-01-18,2.27499986
2015-01-19,15.4699993
2015-01-20,60.989994
2015-01-21,3.10500002
2015-01-22,0.62499994
2015-01-23,3.17999983
2015-01-24,33.1899948
2015-01-25,42.6799965
2015-01-26,8.92500019
2015-01-27,3.06500006
2015-01-28,31.0550003
2015-01-29,26.8449974
2015-01-30,20.2399998
2015-01-31,14.75
2015-02-01,27.7099953
2015-02-02,17.1999989
2015-02-03,13.3100014
2015-02-04,14.4050016
2015-02-05,2.67000008
2015-02-06,13.5599985
2015-02-07,97.8950043
2015-02-08,1.495
2015-02-09,1.87499976
2015-02-10,3.9749999
2015-02-11,1.38499987
2015-02-12,31.3899994
2015-02-13,11.170001
2015-02-14,0.0199999996
2015-02-15,13.7900009
2015-02-16,1.43999982
2015-02-17,40.0849991
2015-02-18,17.3850002
2015-02-19,28.4449959
2015-02-20,1.48999989
2015-02-21,3.23999977
2015-02-22,0.284999996
2015-02-23,11.4499998
2015-02-24,0
2015-02-25,19.119997
2015-02-26,33.1200027
2015-02-27,16.9150009
2015-02-28,8.17000008
2015-03-01,6.18500042
2015-03-02,15.8150005
2015-03-03,7.64999962
2015-03-04,7.86499977
2015-03-05,6.90499973
2015-03-06,3.83999968
2015-03-07,4.07499981
2015-03-08,2.02499986
2015-03-09,10.0999994
2015-03-10,2.31499982
2015-03-11,11.4749994
2015-03-12,13.1900005
2015-03-13,3.94500017
2015-03-14,56.8949966
2015-03-15,35.0099983
2015-03-16,10.2749987
2015-03-17,35.8150024
2015-03-18,26.6699944
2015-03-19,10.7549992
2015-03-20,7.42499971
2015-03-21,10.4499989
2015-03-22,12.0049992
2015-03-23,0
2015-03-24,0.764999986
2015-03-25,17.9900017
2015-03-26,0.809999943
2015-03-27,0.435000002
2015-03-28,5.86500025
2015-03-29,0.625
2015-03-30,2.23000002
2015-03-31,13.1599998
2015-04-01,16.1899986
2015-04-02,4.86000013
2015-04-03,12.0949993
2015-04-04,32.170002
2015-04-05,0
2015-04-06,16.8500004
2015-04-07,4.85499954
2015-04-08,5.09499979
2015-04-09,0
2015-04-10,0
2015-04-11,16.0199986
2015-04-12,26.8250008
2015-04-13,0.659999967
2015-04-14,16.3899994
2015-04-15,10.9249992
2015-04-16,9.30500031
2015-04-17,4.70499897
2015-04-18,10.2149992
2015-04-19,3.07999945
2015-04-20,19.710001
2015-04-21,17.6900005
2015-04-22,2.77500033
2015-04-23,5.33500051
2015-04-24,9.09000015
2015-04-25,2.40499997
2015-04-26,9.79500103
2015-04-27,12.9549999
2015-04-28,16.2900009
2015-04-29,6.56000042
2015-04-30,4.76000023
2015-05-01,39.3499947
2015-05-02,21.1349983
2015-05-03,37.8950005
2015-05-04,30.329998
2015-05-05,0
2015-05-06,4.18499947
2015-05-07,0
2015-05-08,0
2015-05-09,0
2015-05-10,0
2015-05-11,0
2015-05-12,0
2015-05-13,1.23000002
2015-05-14,1.86500001
2015-05-15,1.93499994
2015-05-16,0
2015-05-17,0
2015-05-18,0
2015-05-19,0
2015-05-20,0
2015-05-21,0
2015-05-22,0
2015-05-23,0
2015-05-24,0
2015-05-25,0
2015-05-26,0
2015-05-27,0.554999948
2015-05-28,0
2015-05-29,0
2015-05-30,0
2015-05-31,0
2015-06-01,12.8150005
2015-06-02,0
2015-06-03,0
2015-06-04,0
2015-06-05,0
2015-06-06,0.334999979
2015-06-07,0.294999987
2015-06-08,0.13499999
2015-06-09,13.130003
2015-06-10,1.125
2015-06-11,0
2015-06-12,0
2015-06-13,0
2015-06-14,0
2015-06-15,0
2015-06-16,0
2015-06-17,0
2015-06-18,0
2015-06-19,0.049999997
2015-06-20,0.00499999989
2015-06-21,0
2015-06-22,0
2015-06-23,0
2015-06-24,0
2015-06-25,0
2015-06-26,0
2015-06-27,0
2015-06-28,0
2015-06-29,0
2015-06-30,0
2015-07-01,0
2015-07-02,0
2015-07-03,0
2015-07-04,0
2015-07-05,0
2015-07-06,0
2015-07-07,0
2015-07-08,0
2015-07-09,0
2015-07-10,0.229999989
2015-07-11,0
2015-07-12,0.25999999
2015-07-13,0
2015-07-14,0
2015-07-15,0
2015-07-16,0
2015-07-17,0
2015-07-18,0
2015-07-19,0
2015-07-20,0
2015-07-21,0
2015-07-22,0
2015-07-23,0
2015-07-24,0
2015-07-25,0
2015-07-26,0
2015-07-27,0
2015-07-28,0
2015-07-29,0
2015-07-30,0
2015-07-31,0
2015-08-01,0
2015-08-02,0
2015-08-03,0
2015-08-04,0
2015-08-05,0
2015-08-06,0
2015-08-07,0
2015-08-08,0
2015-08-09,0.239999995
2015-08-10,0
2015-08-11,0
2015-08-12,0
2015-08-13,0
2015-08-14,0
2015-08-15,0
2015-08-16,0
2015-08-17,0
2015-08-18,0
2015-08-19,0
2015-08-20,0
2015-08-21,0
2015-08-22,0
2015-08-23,0
2015-08-24,0
2015-08-25,0
2015-08-26,0
2015-08-27,0
2015-08-28,0
2015-08-29,0
2015-08-30,0
2015-08-31,0
2015-09-01,0
2015-09-02,0
2015-09-03,0
2015-09-04,0
2015-09-05,0
2015-09-06,0
2015-09-07,0
2015-09-08,0
2015-09-09,0
2015-09-10,0
2015-09-11,0
2015-09-12,0
2015-09-13,0
2015-09-14,0
2015-09-15,0
2015-09-16,4.19499969
2015-09-17,0
2015-09-18,0
2015-09-19,0
2015-09-20,0
2015-09-21,0.889999986
2015-09-22,0
2015-09-23,0
2015-09-24,0
2015-09-25,0
2015-09-26,0
2015-09-27,0
2015-09-28,0
2015-09-29,0
2015-09-30,0
2015-10-01,0
2015-10-02,0
2015-10-03,0
2015-10-04,0
2015-10-05,0
2015-10-06,0
2015-10-07,37.75
2015-10-08,0
2015-10-09,1.12
2015-10-10,0
2015-10-11,0
2015-10-12,0
2015-10-13,0
2015-10-14,0
2015-10-15,0
2015-10-16,0
2015-10-17,0
2015-10-18,0
2015-10-19,10.6149998
2015-10-20,0
2015-10-21,0
2015-10-22,0
2015-10-23,0
2015-10-24,0
2015-10-25,0
2015-10-26,0
2015-10-27,0
2015-10-28,0
2015-10-29,0
2015-10-30,1
2015-10-31,0
2015-11-01,0
2015-11-02,0
2015-11-03,0
2015-11-04,0.815000057
2015-11-05,0
