time,mean_precipitation
2015-01-01,13.2649984
2015-01-02,9.70999908
2015-01-03,7.27499962
2015-01-04,1.54500008
2015-01-05,4.55999947
2015-01-06,2.51999998
2015-01-07,1.17000008
2015-01-08,6.57999992
2015-01-09,0.140000001
2015-01-10,0.149999991
2015-01-11,2.00999999
2015-01-12,2.94499969
2015-01-13,2.07499981
2015-01-14,1.4799999
2015-01-15,8.10000038
2015-01-16,0
2015-01-17,2.57999992
2015-01-18,3.42000008
2015-01-19,10.3099995
2015-01-20,82.4849777
2015-01-21,3.96999979
2015-01-22,0.310000002
2015-01-23,0.894999981
2015-01-24,33.6400032
2015-01-25,29.7600021
2015-01-26,8.91499996
2015-01-27,0.644999981
2015-01-28,24.6049995
2015-01-29,35.7349968
2015-01-30,23.7800007
2015-01-31,8.91499901
2015-02-01,35.0700035
2015-02-02,15.414999
2015-02-03,20.539999
2015-02-04,33.9250031
2015-02-05,15.1899986
2015-02-06,23.0599995
2015-02-07,46.9100037
2015-02-08,16.9449978
2015-02-09,0.299999982
2015-02-10,2.26499987
2015-02-11,0.114999995
2015-02-12,24.0149994
2015-02-13,18.5449982
2015-02-14,0.174999997
2015-02-15,12.3600006
2015-02-16,1.30500007
2015-02-17,8.99499989
2015-02-18,26.2350006
2015-02-19,56.9300003
2015-02-20,2.2249999
2015-02-21,0.629999995
2015-02-22,0.049999997
2015-02-23,4.59499979
2015-02-24,0
2015-02-25,3.23999977
2015-02-26,40.6649971
2015-02-27,9.05500031
2015-02-28,8.13500118
2015-03-01,3.01999998
2015-03-02,22.2949982
2015-03-03,10.2650003
2015-03-04,3.85500002
2015-03-05,8.90499973
2015-03-06,3.00999999
2015-03-07,3.82999992
2015-03-08,1.24000001
2015-03-09,13.9049988
2015-03-10,2.54499984
2015-03-11,7.2349987
2015-03-12,9.91499996
2015-03-13,3.02499962
2015-03-14,47.454998
2015-03-15,26.4749985
2015-03-16,11.795001
2015-03-17,18.9800014
2015-03-18,30.6549988
2015-03-19,5.63000011
2015-03-20,8.56000042
2015-03-21,39.3950043
2015-03-22,8.19500065
2015-03-23,0
2015-03-24,1.33999991
2015-03-25,14.329998
2015-03-26,0.159999996
2015-03-27,0.194999993
2015-03-28,8.94000053
2015-03-29,0.610000014
2015-03-30,1.46999991
2015-03-31,28.2550011
2015-04-01,20.1999989
2015-04-02,1.47500002
2015-04-03,11.6949997
2015-04-04,24.7399979
2015-04-05,0
2015-04-06,18.0499992
2015-04-07,2.42999983
2015-04-08,6.18999958
2015-04-09,0
2015-04-10,0
2015-04-11,7.94499922
2015-04-12,22.6400032
2015-04-13,1.56999993
2015-04-14,9.17500114
2015-04-15,13.0499992
2015-04-16,8.74000072
2015-04-17,6.61500072
2015-04-18,21.9750004
2015-04-19,4.48499966
2015-04-20,23.2500019
2015-04-21,16.0349998
2015-04-22,0.504999995
2015-04-23,4.36000013
2015-04-24,5.59000015
2015-04-25,1.85499978
2015-04-26,14.8000002
2015-04-27,13.4099998
2015-04-28,16.3599987
2015-04-29,8.42499924
2015-04-30,0.949999988
2015-05-01,13.3199997
2015-05-02,19.0999985
2015-05-03,33.9350052
2015-05-04,21.6350002
2015-05-05,0
2015-05-06,1.38999999
2015-05-07,0
2015-05-08,0
2015-05-09,0
2015-05-10,0
2015-05-11,0
2015-05-12,0
2015-05-13,0
2015-05-14,33.2650032
2015-05-15,0.609999955
2015-05-16,0
2015-05-17,0
2015-05-18,0
2015-05-19,0
2015-05-20,0
2015-05-21,0
2015-05-22,0
2015-05-23,0
2015-05-24,0
2015-05-25,0
2015-05-26,0
2015-05-27,0.404999971
2015-05-28,0
2015-05-29,0
2015-05-30,0
2015-05-31,0
2015-06-01,0.644999981
2015-06-02,0
2015-06-03,0
2015-06-04,0
2015-06-05,0.0350000001
2015-06-06,0.215000004
