time,mean_precipitation
2015-01-01,9.61499977
2015-01-02,17.2924995
2015-01-03,18.7999992
2015-01-04,1.76999986
2015-01-05,15.085001
2015-01-06,0.217500001
2015-01-07,0.0124999993
2015-01-08,1.13249993
2015-01-09,0.349999964
2015-01-10,0
2015-01-11,1.63999987
2015-01-12,2.25999975
2015-01-13,7.03249884
2015-01-14,0.232500002
2015-01-15,11.6875
2015-01-16,8.19250011
2015-01-17,5.30749989
2015-01-18,8.88250065
2015-01-19,18.5325012
2015-01-20,18.7724991
2015-01-21,17.9049988
2015-01-22,5.79249954
2015-01-23,0.540000021
2015-01-24,0.412499994
2015-01-25,28.5450001
2015-01-26,1.37749994
2015-01-27,0.300000012
2015-01-28,0.519999981
2015-01-29,10.2375002
2015-01-30,46.7425003
2015-01-31,65.8875046
2015-02-01,36.4424973
2015-02-02,1.36000001
2015-02-03,10.937501
2015-02-04,8.73499966
2015-02-05,51.8249969
2015-02-06,5.47749996
2015-02-07,6.50499916
2015-02-08,38.847496
2015-02-09,19.227499
2015-02-10,2.08749986
2015-02-11,1.70749998
2015-02-12,29.2275009
2015-02-13,47.4925003
2015-02-14,11.7625008
2015-02-15,0.649999917
2015-02-16,1.96249986
2015-02-17,7.33999968
2015-02-18,18.0149994
2015-02-19,31.5524998
2015-02-20,10.7074995
2015-02-21,0.0850000009
2015-02-22,0
2015-02-23,0.152499989
2015-02-24,0.0249999985
2015-02-25,0.952499986
2015-02-26,1.81499982
2015-02-27,2.08249998
2015-02-28,3.48249984
2015-03-01,7.54500008
2015-03-02,51.9949951
2015-03-03,3.90249991
2015-03-04,1.47000003
2015-03-05,1.44749999
2015-03-06,0.564999998
2015-03-07,1.94749999
2015-03-08,2.20499992
2015-03-09,2.31999993
2015-03-10,0
2015-03-11,1.17499995
2015-03-12,4.13500023
2015-03-13,28.4899979
2015-03-14,13.2874994
2015-03-15,15.8850012
2015-03-16,0.307500005
2015-03-17,0.0274999999
2015-03-18,17.4824982
2015-03-19,0.377499938
2015-03-20,43.7849998
2015-03-21,4.10750008
2015-03-22,0.337499976
2015-03-23,0.172499999
2015-03-24,0.682499945
2015-03-25,14.7099991
2015-03-26,5.49499989
2015-03-27,0.392499983
2015-03-28,0.287499994
2015-03-29,0.217500001
2015-03-30,0.837499976
2015-03-31,24.0524979
2015-04-01,10.1324997
2015-04-02,20.0149975
2015-04-03,40.7649918
2015-04-04,0.747499943
2015-04-05,0.239999995
2015-04-06,16.8224983
2015-04-07,31.6049995
2015-04-08,16.1325016
2015-04-09,0.174999982
2015-04-10,0
2015-04-11,8.48499966
2015-04-12,8.45499992
2015-04-13,0.487499952
2015-04-14,10.375001
2015-04-15,1.9174999
2015-04-16,11.852499
2015-04-17,7.70499945
2015-04-18,2.52249956
2015-04-19,10.7975006
2015-04-20,2.35249996
2015-04-21,4.17749977
2015-04-22,2.45249987
2015-04-23,8.37750053
2015-04-24,8.01749992
2015-04-25,2.2874999
2015-04-26,17.8675003
2015-04-27,4.47249985
2015-04-28,2.2025001
2015-04-29,15.0649986
2015-04-30,0.962499976
2015-05-01,1.31750011
2015-05-02,9.52249908
2015-05-03,14.1075001
2015-05-04,0.680000007
2015-05-05,0
2015-05-06,3.26250005
2015-05-07,1.89999998
2015-05-08,0
2015-05-09,0
2015-05-10,0
2015-05-11,0
2015-05-12,0
2015-05-13,1.69249988
2015-05-14,25.0499992
2015-05-15,27.392498
2015-05-16,1.24749994
2015-05-17,0.105000004
2015-05-18,0
2015-05-19,0
2015-05-20,0
2015-05-21,0
2015-05-22,0
2015-05-23,0
2015-05-24,0.0374999978
2015-05-25,0
2015-05-26,5.44500017
2015-05-27,0
2015-05-28,0.0399999991
2015-05-29,0
2015-05-30,0
2015-05-31,0.152499989
2015-06-01,0
2015-06-02,0.00999999978
2015-06-03,1.08500004
2015-06-04,4.67749977
2015-06-05,0.0900000036
2015-06-06,0.0874999911
2015-06-07,2.90249991
2015-06-08,1.82249999
2015-06-09,3.46249986
2015-06-10,0.597499967
2015-06-11,0.0424999967
2015-06-12,0
2015-06-13,0
2015-06-14,0
2015-06-15,0
2015-06-16,0
2015-06-17,0.0199999996
2015-06-18,0
2015-06-19,0.00499999989
2015-06-20,0.194999993
2015-06-21,0
2015-06-22,0
2015-06-23,0
2015-06-24,0
2015-06-25,0
2015-06-26,0.0149999997
2015-06-27,0
2015-06-28,0
2015-06-29,0
2015-06-30,0
2015-07-01,0
2015-07-02,0
2015-07-03,0
2015-07-04,0
2015-07-05,0
2015-07-06,0.547500014
2015-07-07,0
2015-07-08,0
2015-07-09,0.269999981
2015-07-10,0.397499979
2015-07-11,5.95749998
2015-07-12,11.915
2015-07-13,0
2015-07-14,0
2015-07-15,0
2015-07-16,0
2015-07-17,0
2015-07-18,0
2015-07-19,0
2015-07-20,0
2015-07-21,0
2015-07-22,0
2015-07-23,0
2015-07-24,0
2015-07-25,0
2015-07-26,0
2015-07-27,0
2015-07-28,0.0799999982
2015-07-29,0
2015-07-30,0
2015-07-31,0
2015-08-01,0
2015-08-02,0
2015-08-03,0
2015-08-04,0
2015-08-05,0
2015-08-06,0.0974999964
