time,mean_precipitation
2015-01-01,10.7024994
2015-01-02,18.9800014
2015-01-03,20.7974968
2015-01-04,3.79999971
2015-01-05,23.9674988
2015-01-06,1.43499994
2015-01-07,0.61500001
2015-01-08,0.177499995
2015-01-09,0.287499994
2015-01-10,0.672500014
2015-01-11,0.38499999
2015-01-12,4.93499994
2015-01-13,6.15750027
2015-01-14,0.977499962
2015-01-15,10.7824993
2015-01-16,5.84500027
2015-01-17,3.63749981
2015-01-18,27.3424969
2015-01-19,18.4899979
2015-01-20,39.3349991
2015-01-21,12.6275005
2015-01-22,8.09499931
2015-01-23,1.32249999
2015-01-24,1.62749982
2015-01-25,17.0100002
2015-01-26,3.8125
2015-01-27,1.27999997
2015-01-28,2.25250006
2015-01-29,18.7774982
2015-01-30,37.2524948
2015-01-31,51.4524994
2015-02-01,46.0775032
2015-02-02,3.89249992
2015-02-03,23.2150002
2015-02-04,15.079998
2015-02-05,70.984993
2015-02-06,11.1674995
2015-02-07,3.58500004
2015-02-08,24.6925011
2015-02-09,7.33750057
2015-02-10,0.379999995
2015-02-11,1.11249995
2015-02-12,42.6625023
2015-02-13,45.6224937
2015-02-14,8.44499969
2015-02-15,1.05250001
2015-02-16,1.62249994
2015-02-17,10.4050007
2015-02-18,13.352499
2015-02-19,29.7774982
2015-02-20,8.9574995
2015-02-21,0.855000019
2015-02-22,0.942500114
2015-02-23,0.484999985
2015-02-24,0.107500002
2015-02-25,0.425000012
2015-02-26,0.387499988
2015-02-27,1.38499999
2015-02-28,2.56500006
2015-03-01,4.96500015
2015-03-02,44.8124962
2015-03-03,7.81000042
2015-03-04,2.74249983
2015-03-05,1.67499995
2015-03-06,1.70000005
2015-03-07,3.64249992
2015-03-08,0.550000012
2015-03-09,0.579999983
2015-03-10,1.02249992
2015-03-11,1.23249996
2015-03-12,3.41749978
2015-03-13,12.4499989
2015-03-14,12.3000002
2015-03-15,16.9849987
2015-03-16,10.0249996
2015-03-17,3.66999984
2015-03-18,10.4949999
2015-03-19,0.75
2015-03-20,32.4274979
2015-03-21,3.00500011
2015-03-22,0.654999971
2015-03-23,0.36499998
2015-03-24,7.92000103
2015-03-25,3.95000005
2015-03-26,5.49250031
2015-03-27,0
2015-03-28,5.58500004
2015-03-29,0
2015-03-30,0.435000002
2015-03-31,42.1224976
2015-04-01,10.0849991
2015-04-02,13.607501
2015-04-03,33.1074982
2015-04-04,6.08750057
2015-04-05,0
2015-04-06,12.2449989
2015-04-07,18.1599979
2015-04-08,10.2424994
2015-04-09,0
2015-04-10,0
2015-04-11,6.73499966
2015-04-12,10.4974995
2015-04-13,0.967499912
2015-04-14,16.704998
2015-04-15,0.13499999
2015-04-16,10.9049997
2015-04-17,14.8399992
2015-04-18,9.24499989
2015-04-19,10.6949997
2015-04-20,2.30750012
2015-04-21,1.01249993
2015-04-22,2.44749975
2015-04-23,10.3174992
2015-04-24,4.75
2015-04-25,8.46250057
2015-04-26,31.2199955
2015-04-27,10.6125002
2015-04-28,5.36749935
2015-04-29,10.0849991
2015-04-30,0.167500004
2015-05-01,2.2099998
2015-05-02,18.2074986
2015-05-03,24.552496
2015-05-04,6.21250057
2015-05-05,0.432500005
2015-05-06,2.36000013
2015-05-07,4.09000015
2015-05-08,0
2015-05-09,0
2015-05-10,0
2015-05-11,0
2015-05-12,1.78249991
2015-05-13,1.02250004
2015-05-14,14.6700001
2015-05-15,42.2474976
2015-05-16,1.32749987
2015-05-17,0
2015-05-18,0
2015-05-19,0
2015-05-20,0
2015-05-21,0
2015-05-22,0
2015-05-23,0
2015-05-24,0
2015-05-25,0
2015-05-26,0.399999976
2015-05-27,0
2015-05-28,0
2015-05-29,0
2015-05-30,0
2015-05-31,0.0425000004
2015-06-01,0.729999959
2015-06-02,0.242499992
2015-06-03,0
2015-06-04,1.42499995
2015-06-05,0.00499999989
2015-06-06,0.022499999
2015-06-07,2.5625
2015-06-08,1.94499993
2015-06-09,6.05250025
2015-06-10,0
2015-06-11,0
2015-06-12,0
2015-06-13,0
2015-06-14,0
2015-06-15,0
2015-06-16,0
2015-06-17,0
2015-06-18,0
2015-06-19,0.00499999989
2015-06-20,0
2015-06-21,0
2015-06-22,0
2015-06-23,0
2015-06-24,0
2015-06-25,0
2015-06-26,0
2015-06-27,0
2015-06-28,0
2015-06-29,0
2015-06-30,0
2015-07-01,0
2015-07-02,0
2015-07-03,0
2015-07-04,0
2015-07-05,0
2015-07-06,0.194999993
2015-07-07,0
2015-07-08,0
2015-07-09,0
2015-07-10,1.10249996
2015-07-11,9.76749992
2015-07-12,8.92749977
2015-07-13,0
2015-07-14,0
2015-07-15,0
2015-07-16,0
2015-07-17,0
2015-07-18,0
2015-07-19,0
2015-07-20,0
2015-07-21,0
2015-07-22,0
2015-07-23,0
2015-07-24,0
2015-07-25,0
2015-07-26,0
2015-07-27,0
2015-07-28,0
2015-07-29,0
2015-07-30,0
2015-07-31,0
2015-08-01,0
2015-08-02,0
2015-08-03,0
2015-08-04,0
2015-08-05,0
2015-08-06,0.164999992
2015-08-07,0
2015-08-08,0
2015-08-09,0.25999999
2015-08-10,0
2015-08-11,0
2015-08-12,0
2015-08-13,0
2015-08-14,0
2015-08-15,0
2015-08-16,0
2015-08-17,0
2015-08-18,0
2015-08-19,0
2015-08-20,0
2015-08-21,0
2015-08-22,0
2015-08-23,0
2015-08-24,0
2015-08-25,0
2015-08-26,0
2015-08-27,0
2015-08-28,0
2015-08-29,0
2015-08-30,0
2015-08-31,0
2015-09-01,0
2015-09-02,0
2015-09-03,0
2015-09-04,0
2015-09-05,0
2015-09-06,0
2015-09-07,0
2015-09-08,0
2015-09-09,0
2015-09-10,0
2015-09-11,0
2015-09-12,0
2015-09-13,0
2015-09-14,0
2015-09-15,0
2015-09-16,0.179999992
2015-09-17,0
2015-09-18,0
