time,mean_precipitation
2015-01-01,9.66499901
2015-01-02,19.2900009
2015-01-03,17.7299995
2015-01-04,2.26499987
2015-01-05,14.2200012
2015-01-06,0.144999996
2015-01-07,0.0249999985
2015-01-08,1.27499998
2015-01-09,0.349999994
2015-01-10,0
2015-01-11,0.694999993
2015-01-12,3.03499985
2015-01-13,8.02499866
2015-01-14,0.349999994
2015-01-15,11.96
2015-01-16,8.31000042
2015-01-17,5.34000063
2015-01-18,10.7000008
2015-01-19,19.5599995
2015-01-20,21.7400017
2015-01-21,17.9200001
2015-01-22,6.76999998
2015-01-23,1.06000006
2015-01-24,0.170000002
2015-01-25,23.784996
2015-01-26,1.51499999
2015-01-27,0.555000007
2015-01-28,0.74000001
2015-01-29,13.7900009
2015-01-30,47.2400017
2015-01-31,61.25
2015-02-01,41.8349991
2015-02-02,1.93000007
2015-02-03,10.8500013
2015-02-04,8.66499901
2015-02-05,50.2699966
2015-02-06,5.79999971
2015-02-07,8.24999905
2015-02-08,35.154995
2015-02-09,24.1149979
2015-02-10,3.54499984
2015-02-11,1.29499996
2015-02-12,31.3499985
2015-02-13,54.640007
2015-02-14,11.3000002
2015-02-15,1.25999987
2015-02-16,2.5599997
2015-02-17,8.91499996
2015-02-18,19.3999996
2015-02-19,36.3050003
2015-02-20,12.4300003
2015-02-21,0.170000002
2015-02-22,0
2015-02-23,0.304999977
2015-02-24,0.049999997
2015-02-25,1.08000004
2015-02-26,2.60499978
2015-02-27,3.4749999
2015-02-28,3.40499973
2015-03-01,9.59500027
2015-03-02,53.420002
2015-03-03,4.05500031
2015-03-04,1.25500011
2015-03-05,1.67499995
2015-03-06,0.919999957
2015-03-07,2.625
2015-03-08,2.69499993
2015-03-09,1.56499994
2015-03-10,0
2015-03-11,1.54499984
2015-03-12,5.05000019
2015-03-13,26.7499981
2015-03-14,13.5049992
2015-03-15,17.710001
2015-03-16,0.61500001
2015-03-17,0.0549999997
2015-03-18,22.6699982
2015-03-19,0.754999876
2015-03-20,42.9850006
2015-03-21,5.03499985
2015-03-22,0.674999952
2015-03-23,0
2015-03-24,1.18499994
2015-03-25,9.41500092
2015-03-26,5.31999969
2015-03-27,0.784999967
2015-03-28,0.359999985
2015-03-29,0.430000007
2015-03-30,0.524999976
2015-03-31,25.8249969
2015-04-01,7.8399992
2015-04-02,14.9699974
2015-04-03,40.4349899
2015-04-04,1.37999988
2015-04-05,0.25
2015-04-06,15.6599998
2015-04-07,39.6899986
2015-04-08,13.8400002
2015-04-09,0.269999981
2015-04-10,0
2015-04-11,16.9699993
2015-04-12,9.23999786
2015-04-13,0.694999933
2015-04-14,13.045002
2015-04-15,2.56999993
2015-04-16,8.77999973
2015-04-17,10.9899988
2015-04-18,4.46999931
2015-04-19,10.2550011
2015-04-20,1.02499998
2015-04-21,4.41999912
2015-04-22,2.0999999
2015-04-23,7.80000019
2015-04-24,7.77999878
2015-04-25,2.47999978
2015-04-26,21.5799999
2015-04-27,4.60499954
2015-04-28,2.375
2015-04-29,13.7999992
2015-04-30,0.964999974
2015-05-01,2.00500011
2015-05-02,11.8549986
2015-05-03,15.3700008
2015-05-04,0.860000014
2015-05-05,0
2015-05-06,2.32999992
2015-05-07,1.29999995
2015-05-08,0
2015-05-09,0
2015-05-10,0
2015-05-11,0
2015-05-12,0
2015-05-13,2.08999991
2015-05-14,26.0449982
2015-05-15,36.1899986
2015-05-16,0.339999974
2015-05-17,0.180000007
2015-05-18,0
2015-05-19,0
2015-05-20,0
2015-05-21,0
2015-05-22,0
2015-05-23,0
2015-05-24,0.0749999955
2015-05-25,0
2015-05-26,4.53999996
2015-05-27,0
2015-05-28,0
2015-05-29,0
2015-05-30,0
2015-05-31,0.154999986
2015-06-01,0
2015-06-02,0.0199999996
2015-06-03,0.790000081
2015-06-04,4.51499987
2015-06-05,0.109999999
2015-06-06,0.13499999
2015-06-07,3.28000021
2015-06-08,1.92999995
2015-06-09,3.56500006
2015-06-10,0
2015-06-11,0.0849999934
2015-06-12,0
2015-06-13,0
2015-06-14,0
2015-06-15,0
2015-06-16,0
2015-06-17,0.0399999991
2015-06-18,0
2015-06-19,0.00999999978
2015-06-20,0.389999986
2015-06-21,0
2015-06-22,0
2015-06-23,0
2015-06-24,0
2015-06-25,0
2015-06-26,0
2015-06-27,0
2015-06-28,0
2015-06-29,0
2015-06-30,0
2015-07-01,0
2015-07-02,0
2015-07-03,0
2015-07-04,0
2015-07-05,0
2015-07-06,1.09500003
2015-07-07,0
2015-07-08,0
