time,mean_precipitation
2015-01-01,7.83499908
2015-01-02,27.6099968
2015-01-03,25.1875
2015-01-04,3.67499995
2015-01-05,4.95999956
2015-01-06,1.62750006
2015-01-07,0.675000072
2015-01-08,2.25749993
2015-01-09,0.965000033
2015-01-10,0.967500031
2015-01-11,0.457499981
2015-01-12,10.4099989
2015-01-13,7.11499977
2015-01-14,3.20499992
2015-01-15,1.50249994
2015-01-16,5.01499987
2015-01-17,4.70249939
2015-01-18,21.8774986
2015-01-19,16.2849998
2015-01-20,42.2799988
2015-01-21,20.3724976
2015-01-22,17.2549973
2015-01-23,3.8900001
2015-01-24,15.7624989
2015-01-25,19.3324986
2015-01-26,7.47500038
2015-01-27,4.12749958
2015-01-28,5.28750038
2015-01-29,20.1874981
2015-01-30,10.2875004
2015-01-31,17.7324982
2015-02-01,89.152504
2015-02-02,12.0725002
2015-02-03,16.5824986
2015-02-04,19.6349983
2015-02-05,18.1724987
2015-02-06,5.90250015
2015-02-07,16.5174999
2015-02-08,3.2125001
2015-02-09,23.2124996
2015-02-10,2.8724997
2015-02-11,1.10000002
2015-02-12,65.4024963
2015-02-13,58.0449944
2015-02-14,2.78999972
2015-02-15,1.09499991
2015-02-16,17.7824993
2015-02-17,18.875
2015-02-18,14.6499996
2015-02-19,30.0774994
2015-02-20,4.68999958
2015-02-21,0
2015-02-22,0
2015-02-23,3.16750002
2015-02-24,0.194999993
2015-02-25,8.21000099
2015-02-26,1.37749994
2015-02-27,3.44249964
2015-02-28,5.07499933
2015-03-01,20.4500008
2015-03-02,52.6899948
2015-03-03,11.1624994
2015-03-04,0.452499986
2015-03-05,0.18249999
2015-03-06,0.842499971
2015-03-07,17.352499
2015-03-08,2.67750001
2015-03-09,3.70749974
2015-03-10,0.69749999
2015-03-11,2.11249971
2015-03-12,7.33749866
2015-03-13,12.5374985
2015-03-14,4.58249998
2015-03-15,24.6100006
2015-03-16,18.2350006
2015-03-17,7.10750008
2015-03-18,10.7374992
2015-03-19,0.0175000001
2015-03-20,4.85500002
2015-03-21,1.37750006
2015-03-22,4.25499964
2015-03-23,1.06000006
2015-03-24,3.95249987
2015-03-25,10.4124985
2015-03-26,15.0224991
2015-03-27,0.487499982
2015-03-28,5.88000011
2015-03-29,0.347499996
2015-03-30,0
2015-03-31,5.05000019
2015-04-01,15.6075001
2015-04-02,2.97749996
2015-04-03,16.6649971
2015-04-04,2.375
2015-04-05,0.182500005
2015-04-06,9.71249962
2015-04-07,5.73250008
2015-04-08,0.837499976
2015-04-09,0.274999976
2015-04-10,0
2015-04-11,0
2015-04-12,11.8399992
2015-04-13,9.17000008
2015-04-14,2.7099998
2015-04-15,2.68000007
2015-04-16,11.1724987
2015-04-17,18.4599991
2015-04-18,22.8124962
2015-04-19,5.01749992
2015-04-20,12.5524998
2015-04-21,4.05999947
2015-04-22,2.26499987
2015-04-23,3.44999981
2015-04-24,4.03000021
2015-04-25,11.1324997
2015-04-26,17.6674976
2015-04-27,4.37249994
2015-04-28,6.61250019
2015-04-29,6.74249983
2015-04-30,1.91999996
2015-05-01,15.539999
2015-05-02,46.9374962
2015-05-03,18.4499989
2015-05-04,4.47249985
2015-05-05,0.0899999961
2015-05-06,1.2974999
2015-05-07,1.6099999
2015-05-08,0
2015-05-09,0
2015-05-10,0
2015-05-11,0
2015-05-12,0
2015-05-13,2.52499986
2015-05-14,0.654999971
