time,mean_precipitation
2015-01-01,10.3649988
2015-01-02,19.630003
2015-01-03,21.7499962
2015-01-04,3.45999956
2015-01-05,25.2150002
2015-01-06,1.20999992
2015-01-07,0.569999993
2015-01-08,0.344999999
2015-01-09,0.219999999
2015-01-10,0.524999976
2015-01-11,0.425000012
2015-01-12,4.87499952
2015-01-13,6.03500032
2015-01-14,0.969999969
2015-01-15,11.125
2015-01-16,6.16499996
2015-01-17,3.11999989
2015-01-18,26.3449974
2015-01-19,15.3249989
2015-01-20,35.1550026
2015-01-21,13.1500015
2015-01-22,7.39999962
2015-01-23,1.52999997
2015-01-24,2.12999988
2015-01-25,14.0749998
2015-01-26,4.19999981
2015-01-27,1.54499984
2015-01-28,2.84500003
2015-01-29,18.3799992
2015-01-30,40.0949936
2015-01-31,52.6549911
2015-02-01,41.4400024
2015-02-02,2.36500025
2015-02-03,23.0199986
2015-02-04,10.5599985
2015-02-05,60.6449966
2015-02-06,12.3299999
2015-02-07,4.74500036
2015-02-08,25.6800003
2015-02-09,10.8050013
2015-02-10,0.75999999
2015-02-11,1.42000008
2015-02-12,46.4950027
2015-02-13,49.1249924
2015-02-14,11.1949997
2015-02-15,1.20000005
2015-02-16,2.16999984
2015-02-17,8.05999947
2015-02-18,10.6999979
2015-02-19,27.4099998
2015-02-20,9.50500011
2015-02-21,1.25999999
2015-02-22,1.12000012
2015-02-23,0.430000007
2015-02-24,0
2015-02-25,0.680000007
2015-02-26,0.49999997
2015-02-27,2.36500001
2015-02-28,2.08500004
2015-03-01,4.80999994
2015-03-02,47.2449951
2015-03-03,6.375
2015-03-04,3.125
2015-03-05,1.55499995
2015-03-06,1.75
2015-03-07,3.16499996
2015-03-08,0.595000029
2015-03-09,0.275000006
2015-03-10,0.449999988
2015-03-11,0.944999933
2015-03-12,3.58500004
2015-03-13,18.4499989
2015-03-14,14.625
2015-03-15,17.2449989
2015-03-16,6.18499947
2015-03-17,2.82499981
2015-03-18,9.0199995
2015-03-19,0.984999955
2015-03-20,34.7399979
2015-03-21,2.79499984
2015-03-22,0.609999955
2015-03-23,0.729999959
2015-03-24,0.519999981
2015-03-25,4.43499994
2015-03-26,6.67500019
2015-03-27,0
2015-03-28,5.36499977
2015-03-29,0
2015-03-30,0.649999976
2015-03-31,43.0400009
2015-04-01,11.4649992
2015-04-02,14.6000004
2015-04-03,37.0449944
2015-04-04,3.39499998
2015-04-05,0
2015-04-06,14.4949989
2015-04-07,22.2699966
2015-04-08,11.8899975
2015-04-09,0
2015-04-10,0
2015-04-11,2.01499987
2015-04-12,4.9550004
2015-04-13,0.769999862
2015-04-14,17.0799999
2015-04-15,0.264999986
2015-04-16,12.7399998
2015-04-17,16.1699982
2015-04-18,4.30999994
2015-04-19,12.1550007
2015-04-20,0.919999957
2015-04-21,1.63499987
2015-04-22,2.03500009
2015-04-23,11.1050005
2015-04-24,5.80499983
2015-04-25,7.84000015
2015-04-26,27.0849991
2015-04-27,10.3549995
2015-04-28,5.59499931
2015-04-29,11.5749998
2015-04-30,0.295000017
2015-05-01,2.2349999
2015-05-02,19.8149986
2015-05-03,25.4499969
2015-05-04,3.10500002
2015-05-05,0.159999996
2015-05-06,2.61500001
2015-05-07,1.94499993
2015-05-08,0
2015-05-09,0
2015-05-10,0
2015-05-11,0
2015-05-12,3.56499982
2015-05-13,1.40999997
2015-05-14,17.8349991
2015-05-15,41.5199966
2015-05-16,1.52499998
2015-05-17,0
2015-05-18,0
2015-05-19,0
2015-05-20,0
2015-05-21,0
2015-05-22,0
2015-05-23,0
2015-05-24,0
2015-05-25,0
2015-05-26,0
2015-05-27,0
2015-05-28,0
2015-05-29,0
2015-05-30,0
2015-05-31,0.0850000009
2015-06-01,0.534999967
2015-06-02,0.125
2015-06-03,0
2015-06-04,2.8499999
2015-06-05,0.00999999978
2015-06-06,0.0199999996
2015-06-07,2.74499989
2015-06-08,1.58999991
2015-06-09,3.70000005
2015-06-10,0
2015-06-11,0
2015-06-12,0
2015-06-13,0
2015-06-14,0
2015-06-15,0
2015-06-16,0
2015-06-17,0
2015-06-18,0
2015-06-19,0.00499999989
2015-06-20,0
2015-06-21,0
2015-06-22,0
2015-06-23,0
2015-06-24,0
2015-06-25,0
2015-06-26,0
2015-06-27,0
2015-06-28,0
2015-06-29,0
2015-06-30,0
2015-07-01,0
2015-07-02,0
2015-07-03,0
2015-07-04,0
2015-07-05,0
2015-07-06,0.389999986
2015-07-07,0
2015-07-08,0
2015-07-09,0
2015-07-10,1.08999991
2015-07-11,12.3950005
2015-07-12,12.1800003
2015-07-13,0
2015-07-14,0
2015-07-15,0
2015-07-16,0
2015-07-17,0
2015-07-18,0
2015-07-19,0
2015-07-20,0
2015-07-21,0
2015-07-22,0
2015-07-23,0
2015-07-24,0
2015-07-25,0
2015-07-26,0
2015-07-27,0
2015-07-28,0
2015-07-29,0
2015-07-30,0
2015-07-31,0
2015-08-01,0
2015-08-02,0
2015-08-03,0
2015-08-04,0
2015-08-05,0
2015-08-06,0.0749999955
2015-08-07,0
2015-08-08,0
2015-08-09,0.449999988
2015-08-10,0
2015-08-11,0
2015-08-12,0
2015-08-13,0
2015-08-14,0
2015-08-15,0
2015-08-16,0
2015-08-17,0
2015-08-18,0
2015-08-19,0
2015-08-20,0
2015-08-21,0
2015-08-22,0
2015-08-23,0
2015-08-24,0
2015-08-25,0
2015-08-26,0
2015-08-27,0
2015-08-28,0
2015-08-29,0
2015-08-30,0
2015-08-31,0
2015-09-01,0
2015-09-02,0
2015-09-03,0
2015-09-04,0
2015-09-05,0
2015-09-06,0
2015-09-07,0
2015-09-08,0
2015-09-09,0
2015-09-10,0
2015-09-11,0
2015-09-12,0
2015-09-13,0
2015-09-14,0
2015-09-15,0
2015-09-16,0.0599999987
2015-09-17,0
2015-09-18,0
2015-09-19,0
2015-09-20,0
2015-09-21,0
2015-09-22,0
2015-09-23,0
2015-09-24,0
2015-09-25,0
2015-09-26,0
2015-09-27,0
2015-09-28,0
2015-09-29,0
2015-09-30,0
2015-10-01,0
2015-10-02,10.585
2015-10-03,0
2015-10-04,0
2015-10-05,0
2015-10-06,0
2015-10-07,0
2015-10-08,0
2015-10-09,0
2015-10-10,0
2015-10-11,0
2015-10-12,0
2015-10-13,0
2015-10-14,0
2015-10-15,0
2015-10-16,0
2015-10-17,0
2015-10-18,0
2015-10-19,2.3599999
2015-10-20,0
2015-10-21,0
2015-10-22,0
2015-10-23,0
2015-10-24,0
2015-10-25,0
2015-10-26,0
2015-10-27,0
2015-10-28,0
2015-10-29,0
2015-10-30,0
2015-10-31,0
2015-11-01,0
2015-11-02,0
2015-11-03,0
2015-11-04,0
2015-11-05,0
2015-11-06,11.6799994
2015-11-07,62.5500069
2015-11-08,6.05999994
2015-11-09,0
2015-11-10,0
2015-11-11,0
2015-11-12,2.01499987
2015-11-13,1.25999999
2015-11-14,0
2015-11-15,0
2015-11-16,9.42500019
2015-11-17,0.48999998
2015-11-18,1.35500002
