time,mean_precipitation
2015-01-01,9.98499966
2015-01-02,13.9650002
2015-01-03,13.3449984
2015-01-04,1.41499972
2015-01-05,6.90499973
2015-01-06,1.77999997
2015-01-07,0.105000004
2015-01-08,2.33000016
2015-01-09,0.420000017
2015-01-10,0.129999995
2015-01-11,0.159999996
2015-01-12,7.38499975
2015-01-13,2.05500007
2015-01-14,0.824999928
2015-01-15,8.40999889
2015-01-16,1.31499994
2015-01-17,5.88000011
2015-01-18,10.3999996
2015-01-19,9.7699995
2015-01-20,75.2649918
2015-01-21,5.3949995
2015-01-22,3.19500017
2015-01-23,0.479999989
2015-01-24,36.3500023
2015-01-25,31.8700027
2015-01-26,7.71000004
2015-01-27,1.35500002
2015-01-28,12.8649998
2015-01-29,41.7300034
2015-01-30,19.5999966
2015-01-31,16.3600025
2015-02-01,49.5849915
2015-02-02,23.9999981
2015-02-03,23.1850014
2015-02-04,45.4550056
2015-02-05,13.0099983
2015-02-06,15.4549999
2015-02-07,30.6349945
2015-02-08,2.44999981
2015-02-09,0.400000036
2015-02-10,5.49499941
2015-02-11,0.219999999
2015-02-12,28.7750015
2015-02-13,29.659996
2015-02-14,0.0949999988
2015-02-15,4.58999968
2015-02-16,0.314999968
2015-02-17,9.38000011
2015-02-18,31.2249985
2015-02-19,37.4450035
2015-02-20,5.55500031
2015-02-21,0
2015-02-22,0
2015-02-23,1.82999992
2015-02-24,0
2015-02-25,0
2015-02-26,21.0599995
2015-02-27,15.625
2015-02-28,1.75999999
2015-03-01,1.77499974
2015-03-02,33.9050026
2015-03-03,16.4249992
2015-03-04,2.78999996
2015-03-05,0.254999995
2015-03-06,1.71000004
2015-03-07,6.54999924
2015-03-08,1.27999997
2015-03-09,4.60499954
2015-03-10,6.53499889
2015-03-11,1.19499993
2015-03-12,10.2799997
2015-03-13,4.59999943
2015-03-14,4.76499939
2015-03-15,23.5200005
2015-03-16,22.6599979
2015-03-17,11.54
2015-03-18,47.7049942
2015-03-19,5.16000032
2015-03-20,11.4200001
2015-03-21,21.3249989
2015-03-22,3.83500004
2015-03-23,0
2015-03-24,0.979999959
2015-03-25,14.7599983
2015-03-26,0.174999982
2015-03-27,0
2015-03-28,11.8650007
2015-03-29,0.0199999996
2015-03-30,0.36500001
2015-03-31,24.7799988
2015-04-01,3.99000025
2015-04-02,6.86000061
2015-04-03,16.5199986
2015-04-04,4.69000006
2015-04-05,0
2015-04-06,23.0650005
2015-04-07,2.53999972
2015-04-08,1.5
2015-04-09,0
2015-04-10,0
2015-04-11,6.48999977
2015-04-12,26.2749996
2015-04-13,1.67000008
2015-04-14,18.1250019
2015-04-15,7.49500036
2015-04-16,2.60499978
2015-04-17,5.32499981
2015-04-18,37.1049995
2015-04-19,8.6449995
2015-04-20,12.2450008
2015-04-21,5
2015-04-22,0.425000012
2015-04-23,4.03999996
2015-04-24,2.3599999
2015-04-25,5.41499901
2015-04-26,27.6349983
2015-04-27,27.6899948
2015-04-28,13.6149988
2015-04-29,3.76499987
2015-04-30,0.904999971
2015-05-01,32.784996
2015-05-02,18.9499989
2015-05-03,11.1850004
2015-05-04,12.625
2015-05-05,0.435000002
2015-05-06,0.569999993
2015-05-07,0
2015-05-08,0
2015-05-09,0
2015-05-10,0
2015-05-11,0
2015-05-12,0
2015-05-13,0.484999985
2015-05-14,25.7199974
2015-05-15,6.68499947
2015-05-16,0
2015-05-17,0
2015-05-18,0
2015-05-19,0
2015-05-20,0
2015-05-21,0
2015-05-22,0
2015-05-23,0
2015-05-24,0
2015-05-25,0
2015-05-26,0
2015-05-27,0
2015-05-28,0
2015-05-29,0
2015-05-30,0
2015-05-31,0
2015-06-01,0
2015-06-02,0
2015-06-03,0
2015-06-04,0.0599999987
2015-06-05,0.0249999985
2015-06-06,0.639999986
2015-06-07,1.9150002
2015-06-08,1.3549999
2015-06-09,7.0199995
2015-06-10,1.9749999
2015-06-11,0
2015-06-12,0
2015-06-13,0
2015-06-14,0
2015-06-15,0
2015-06-16,0
2015-06-17,0
2015-06-18,0
2015-06-19,0
2015-06-20,0
2015-06-21,0
2015-06-22,0
2015-06-23,0
2015-06-24,0
2015-06-25,0
2015-06-26,0
2015-06-27,0
2015-06-28,0
2015-06-29,0
2015-06-30,0
2015-07-01,0
2015-07-02,0
2015-07-03,0
2015-07-04,0
2015-07-05,0
2015-07-06,0
2015-07-07,0
2015-07-08,4.79500008
2015-07-09,0
2015-07-10,0.314999998
2015-07-11,0
2015-07-12,0.474999994
2015-07-13,0
2015-07-14,0
2015-07-15,0
2015-07-16,0
2015-07-17,0
2015-07-18,0
2015-07-19,0
2015-07-20,0
2015-07-21,0
2015-07-22,0
2015-07-23,0
2015-07-24,0
2015-07-25,0
2015-07-26,0
2015-07-27,0
2015-07-28,0
2015-07-29,0
2015-07-30,0
2015-07-31,0
2015-08-01,0
2015-08-02,0
2015-08-03,0
2015-08-04,0
2015-08-05,0
2015-08-06,0
2015-08-07,0
2015-08-08,0.0249999985
2015-08-09,0
2015-08-10,0
2015-08-11,0
2015-08-12,0
2015-08-13,0
2015-08-14,0
2015-08-15,0
2015-08-16,0
2015-08-17,0
2015-08-18,0
2015-08-19,0
2015-08-20,0
2015-08-21,0
2015-08-22,0
2015-08-23,0.13499999
2015-08-24,0
2015-08-25,0
2015-08-26,0
2015-08-27,0
2015-08-28,0
2015-08-29,0
2015-08-30,0
2015-08-31,0
2015-09-01,0
2015-09-02,0
2015-09-03,0
2015-09-04,0
2015-09-05,0
2015-09-06,0
2015-09-07,0
2015-09-08,0
2015-09-09,0
2015-09-10,0
2015-09-11,0
2015-09-12,0
2015-09-13,0
2015-09-14,0
2015-09-15,0
2015-09-16,3.23499966
2015-09-17,0
2015-09-18,0
2015-09-19,0
2015-09-20,0
2015-09-21,0
2015-09-22,0
2015-09-23,0
2015-09-24,0
2015-09-25,0
2015-09-26,0
2015-09-27,0
2015-09-28,0
2015-09-29,0
2015-09-30,0
2015-10-01,0
2015-10-02,0
2015-10-03,0
2015-10-04,0
2015-10-05,0
2015-10-06,0
2015-10-07,10.7200003
2015-10-08,0
2015-10-09,0
2015-10-10,0
2015-10-11,0
2015-10-12,0
2015-10-13,0
2015-10-14,0
2015-10-15,0
2015-10-16,0
2015-10-17,0
2015-10-18,1.23000002
2015-10-19,8.70000076
2015-10-20,0
2015-10-21,0
2015-10-22,0
2015-10-23,0
2015-10-24,0
2015-10-25,0
2015-10-26,0
2015-10-27,0
2015-10-28,0
2015-10-29,0
2015-10-30,0.185000002
2015-10-31,0
2015-11-01,0
2015-11-02,0
2015-11-03,0
2015-11-04,0
2015-11-05,0
2015-11-06,8.28499985
2015-11-07,5.35999966
2015-11-08,76.8499985
2015-11-09,5.15500021
2015-11-10,16.8050003
2015-11-11,0.275000006
2015-11-12,22.6900005
2015-11-13,16.710001
2015-11-14,0
2015-11-15,0.155000001
2015-11-16,1.86500001
2015-11-17,25.0249977
2015-11-18,0
2015-11-19,2.04999995
2015-11-20,1.1099999
2015-11-21,0
2015-11-22,0.340000004
2015-11-23,0
2015-11-24,0
2015-11-25,7.10999966
2015-11-26,1.41499996
2015-11-27,0.114999995
2015-11-28,2.49000001
2015-11-29,9.72000027
2015-11-30,0.980000019
2015-12-01,1.38
2015-12-02,8.29999924
2015-12-03,9.77499962
2015-12-04,1.92999995
2015-12-05,7.32499981
2015-12-06,36.6149979
2015-12-07,1.39999998
2015-12-08,27.6249962
2015-12-09,0
2015-12-10,5.69000053
2015-12-11,19.5700016
2015-12-12,19.4300003
2015-12-13,56.4549942
2015-12-14,10.2449989
2015-12-15,12.1049976
2015-12-16,30.4449997
2015-12-17,14.1499987
2015-12-18,2.3099997
2015-12-19,0
2015-12-20,8.84499931
2015-12-21,0.870000005
2015-12-22,0.0149999997
2015-12-23,5.03999996
2015-12-24,0
2015-12-25,0.745000005
2015-12-26,8.73499966
2015-12-27,10.7950001
2015-12-28,9.34999847
2015-12-29,17.4249992
2015-12-30,6.75
2015-12-31,0.284999996
2016-01-01,10.665
2016-01-02,8.3599987
2016-01-03,0.76000011
2016-01-04,2.1400001
2016-01-05,4.36499977
2016-01-06,0.155000001
2016-01-07,0
2016-01-08,0.569999993
2016-01-09,0.284999996
2016-01-10,3.63499975
2016-01-11,6.14999962
2016-01-12,14.875
2016-01-13,17.4399986
2016-01-14,1.97999978
2016-01-15,2.29999971
2016-01-16,6.8499999
2016-01-17,6.84499931
2016-01-18,6.625
2016-01-19,26.0300026
2016-01-20,49.7849922
2016-01-21,5.8949995
2016-01-22,33.1049957
2016-01-23,22.1999969
2016-01-24,8.22999954
2016-01-25,4.88499975
2016-01-26,7.06500006
2016-01-27,30.8850021
2016-01-28,1.24999988
2016-01-29,33.0749931
2016-01-30,20.1949997
2016-01-31,2.43499994
2016-02-01,14.25
2016-02-02,9.66000175
2016-02-03,19.5749989
2016-02-04,17.8949966
2016-02-05,10.6700001
2016-02-06,52.3949966
2016-02-07,31.4250011
2016-02-08,53.9949951
2016-02-09,39.3699989
2016-02-10,18.5849991
2016-02-11,12.1300011
2016-02-12,12.6849995
2016-02-13,11.9849997
2016-02-14,36.0099983
2016-02-15,8.99499989
2016-02-16,9.75
2016-02-17,0.689999938
2016-02-18,3.51999998
2016-02-19,0
2016-02-20,0.664999962
2016-02-21,9.87999916
2016-02-22,9.96999931
2016-02-23,15.4949999
2016-02-24,10.7250004
2016-02-25,1.3549999
2016-02-26,1.20999992
2016-02-27,2.02999997
2016-02-28,11.1050005
2016-02-29,19.1550007
2016-03-01,25.625
2016-03-02,9.42499828
2016-03-03,0.349999994
2016-03-04,44.364994
2016-03-05,18.6499996
2016-03-06,29.4499969
2016-03-07,0.63499999
2016-03-08,22.0599995
2016-03-09,0.88499999
2016-03-10,18.5500011
2016-03-11,16.5250015
2016-03-12,15.3299999
2016-03-13,4.61500025
2016-03-14,18.5749989
2016-03-15,2.79499984
2016-03-16,6.73499966
2016-03-17,11.9450006
2016-03-18,3.01999998
2016-03-19,9.11999893
2016-03-20,2.30499983
2016-03-21,5.78499985
2016-03-22,41.8700027
2016-03-23,11.4949999
2016-03-24,4.03499985
2016-03-25,21.9300003
