time,mean_precipitation
2015-01-01,8.52250099
2015-01-02,22.6100044
2015-01-03,19.0775013
2015-01-04,4.04749966
2015-01-05,6.45749998
2015-01-06,1.88000023
2015-01-07,0.0799999982
2015-01-08,3.42000008
2015-01-09,0.914999902
2015-01-10,0.272499979
2015-01-11,0.122499995
2015-01-12,7.84499931
2015-01-13,4.40499973
2015-01-14,0.82249999
2015-01-15,1.58249998
2015-01-16,0.767499983
2015-01-17,1.67499995
2015-01-18,11.0524998
2015-01-19,13.3575001
2015-01-20,55.7200012
2015-01-21,22.9125004
2015-01-22,6.85999966
2015-01-23,1.20249999
2015-01-24,12.079999
2015-01-25,17.2349987
2015-01-26,7.8499999
2015-01-27,1.51499987
2015-01-28,12.0299997
2015-01-29,40.8649979
2015-01-30,17.1975021
2015-01-31,14.0650005
2015-02-01,62.2050018
2015-02-02,15.3699989
2015-02-03,28.3725014
2015-02-04,33.7374992
2015-02-05,8.29749966
2015-02-06,7.60249901
2015-02-07,22.8299999
2015-02-08,0.529999971
2015-02-09,5.55999947
2015-02-10,1.92499995
2015-02-11,0.0324999988
2015-02-12,31.8749981
2015-02-13,49.4649925
2015-02-14,2.23250008
2015-02-15,0.792500019
2015-02-16,2.23999977
2015-02-17,17.7250023
2015-02-18,18.5124989
2015-02-19,35.5700073
2015-02-20,3.83249974
2015-02-21,0
2015-02-22,0
2015-02-23,4.57999992
2015-02-24,0
2015-02-25,0
2015-02-26,6.39749908
2015-02-27,29.9975014
2015-02-28,33.0074997
2015-03-01,5.38499928
2015-03-02,32.0749969
2015-03-03,13.7024984
2015-03-04,0.772499979
2015-03-05,0
2015-03-06,0.86499995
2015-03-07,10.4200001
2015-03-08,1.8575002
2015-03-09,1.05499995
2015-03-10,1.45499992
2015-03-11,1.74500024
2015-03-12,11.0100021
2015-03-13,9.17000008
2015-03-14,2.54249978
2015-03-15,30.2149982
2015-03-16,24.5275002
2015-03-17,7.86250019
2015-03-18,19.7975006
2015-03-19,0.0474999994
2015-03-20,11.6850014
2015-03-21,23.1674995
2015-03-22,6.32500029
2015-03-23,5.43999958
2015-03-24,4.73749971
2015-03-25,20.9749985
2015-03-26,10.5450001
2015-03-27,0
2015-03-28,7.54249954
2015-03-29,0.287499994
2015-03-30,0.249999985
2015-03-31,9.89249992
2015-04-01,12.7599993
2015-04-02,0.512499988
2015-04-03,15.4574986
2015-04-04,12.6774998
2015-04-05,0
2015-04-06,10.2624998
2015-04-07,0.94750005
2015-04-08,2.18499994
2015-04-09,0
2015-04-10,0
2015-04-11,3.07999992
2015-04-12,24.1049995
2015-04-13,7.75250006
2015-04-14,1.59249997
2015-04-15,5.24750042
2015-04-16,22.5650005
2015-04-17,10.0199995
2015-04-18,15.6674986
2015-04-19,3.30499983
2015-04-20,15.7974997
