time,mean_precipitation
2015-01-01,16.4249954
2015-01-02,20.630003
2015-01-03,24.2049942
2015-01-04,3.94500017
2015-01-05,17.3299999
2015-01-06,5.92500067
2015-01-07,2.02999997
2015-01-08,0.224999994
2015-01-09,1.17499995
2015-01-10,0.984999955
2015-01-11,0.294999987
2015-01-12,8.22499943
2015-01-13,6.55999947
2015-01-14,0.999999881
2015-01-15,9.58500099
2015-01-16,2.92000008
2015-01-17,3.93499994
2015-01-18,11.6649981
2015-01-19,17.1849995
2015-01-20,64.2149963
2015-01-21,6.50500011
2015-01-22,4.33999968
2015-01-23,0.734999955
2015-01-24,6.73500061
2015-01-25,15.1749992
2015-01-26,2.63999987
2015-01-27,0.5
2015-01-28,9.37999916
2015-01-29,25.4099998
2015-01-30,45.6200027
2015-01-31,33.8949966
2015-02-01,36.6150017
2015-02-02,12.7600002
2015-02-03,35.1650009
2015-02-04,32.0850029
2015-02-05,39.0600052
2015-02-06,28.295002
2015-02-07,1.97000003
2015-02-08,14.0649986
2015-02-09,2.73000002
2015-02-10,0.430000007
2015-02-11,0.659999967
2015-02-12,41.2499962
2015-02-13,25.7449989
2015-02-14,3.26999998
2015-02-15,2.13500023
2015-02-16,9.27499866
2015-02-17,18.1449986
2015-02-18,26.2749939
2015-02-19,26.1750031
2015-02-20,6.46500015
2015-02-21,0.0949999988
2015-02-22,1.16499996
2015-02-23,0.539999962
2015-02-24,0
2015-02-25,0
2015-02-26,8.46500015
2015-02-27,6.43000031
2015-02-28,0.594999969
2015-03-01,0.539999962
2015-03-02,50.7999954
2015-03-03,10.8450003
2015-03-04,4.98000002
2015-03-05,3.24499989
2015-03-06,1.70000005
2015-03-07,10.7599983
2015-03-08,1.68999982
2015-03-09,0
2015-03-10,3.62499976
2015-03-11,1.12999988
2015-03-12,4.02999973
2015-03-13,15
2015-03-14,15.2449989
2015-03-15,23.9050007
2015-03-16,14.5749989
2015-03-17,4.27999973
2015-03-18,3.38499975
2015-03-19,0.275000006
2015-03-20,18.7900028
2015-03-21,4.85000038
2015-03-22,0.375
2015-03-23,0.0899999961
2015-03-24,11.999999
2015-03-25,5.00999975
2015-03-26,4.19999981
2015-03-27,0
2015-03-28,11.4899998
2015-03-29,0
2015-03-30,0.454999983
2015-03-31,29.0300026
2015-04-01,9.70000076
