time,mean_precipitation
2015-01-01,5.7750001
2015-01-02,8.49999809
2015-01-03,14.7649994
2015-01-04,0.399999976
2015-01-05,6.39000034
2015-01-06,0.61499995
2015-01-07,0.449999988
2015-01-08,0.049999997
2015-01-09,0.0850000009
2015-01-10,0
2015-01-11,0.0399999991
2015-01-12,4.03499985
2015-01-13,4.73499966
2015-01-14,0
2015-01-15,11.4650002
2015-01-16,6.28999996
2015-01-17,3.03000021
2015-01-18,2.33999968
2015-01-19,6.44999981
2015-01-20,3.95499992
2015-01-21,14.2650003
2015-01-22,5.0449996
2015-01-23,0
2015-01-24,0.465000004
2015-01-25,22.9650002
2015-01-26,1.2650001
2015-01-27,3.55499983
2015-01-28,0.314999998
2015-01-29,0.870000005
2015-01-30,21.5500031
2015-01-31,30.5550003
2015-02-01,14.414999
2015-02-02,5.375
2015-02-03,1.33999991
2015-02-04,4.8499999
2015-02-05,44.3150024
2015-02-06,2.56000042
2015-02-07,1.42499995
2015-02-08,10.8700008
2015-02-09,8.75999928
2015-02-10,1.09499991
2015-02-11,0.469999999
2015-02-12,13.9750004
2015-02-13,36.7150002
2015-02-14,12.914999
2015-02-15,0
2015-02-16,0.289999992
2015-02-17,2.38999987
2015-02-18,14.5450001
2015-02-19,14.7399998
2015-02-20,7.19999981
2015-02-21,0.0399999991
2015-02-22,0
2015-02-23,0.25999999
2015-02-24,0
2015-02-25,0.789999962
2015-02-26,0.150000006
2015-02-27,0.205000013
2015-02-28,0.344999999
2015-03-01,5.00499964
2015-03-02,51.5599937
2015-03-03,1.75499988
2015-03-04,0
2015-03-05,0.389999986
2015-03-06,0
2015-03-07,1.62999988
2015-03-08,3.44999981
2015-03-09,3.42499995
2015-03-10,0
2015-03-11,1.07500005
2015-03-12,6.83500004
2015-03-13,18.5849991
2015-03-14,16.4899979
2015-03-15,5.42000008
2015-03-16,0.550000012
2015-03-17,0
2015-03-18,5.9550004
2015-03-19,0
2015-03-20,63.5149994
2015-03-21,5.17000008
2015-03-22,0
2015-03-23,0.0149999997
2015-03-24,0.159999996
2015-03-25,30.5849953
2015-03-26,1.86500001
2015-03-27,0.0799999982
2015-03-28,0.375
2015-03-29,0.0199999996
2015-03-30,0.360000014
2015-03-31,8.50500107
2015-04-01,6.88499928
2015-04-02,15.914999
2015-04-03,37.345005
2015-04-04,0.00999999978
2015-04-05,0.169999987
2015-04-06,11.25
2015-04-07,28.0299988
2015-04-08,13.9150009
2015-04-09,0
2015-04-10,0
2015-04-11,0
2015-04-12,6.32499981
2015-04-13,0.0899999961
2015-04-14,2.09000015
2015-04-15,0.330000013
2015-04-16,11.835
2015-04-17,3.27999973
2015-04-18,0.495000005
2015-04-19,0.519999981
2015-04-20,2.15999985
