time,mean_precipitation
2015-01-01,13.8050003
2015-01-02,16.2849998
2015-01-03,19.8400021
2015-01-04,3.14499998
2015-01-05,13.2000008
2015-01-06,4.19000006
2015-01-07,0.840000033
2015-01-08,1.24000001
2015-01-09,0.870000005
2015-01-10,0.995000005
2015-01-11,0.264999986
2015-01-12,6.77999973
2015-01-13,4.48999977
2015-01-14,0.850000024
2015-01-15,13.4449997
2015-01-16,1.08999991
2015-01-17,3.87500024
2015-01-18,10.6899996
2015-01-19,12.3600006
2015-01-20,70.4949799
2015-01-21,4.93499994
2015-01-22,1.28499997
2015-01-23,0.634999931
2015-01-24,5.76000023
2015-01-25,18.2849979
2015-01-26,3.72499967
2015-01-27,0.764999986
2015-01-28,10.2150002
2015-01-29,28.2899971
2015-01-30,46.6299973
2015-01-31,45.2599945
2015-02-01,39.7049942
2015-02-02,23.579998
2015-02-03,32.3300018
2015-02-04,55.3600044
2015-02-05,27.3400002
2015-02-06,16.329998
2015-02-07,4.92499971
2015-02-08,5.27499962
2015-02-09,0.669999957
2015-02-10,2.52499986
2015-02-11,0.554999948
2015-02-12,39.5600014
2015-02-13,24.2999992
2015-02-14,1.44500017
2015-02-15,2.64500022
2015-02-16,5.9199996
2015-02-17,20.3600006
2015-02-18,33.7750015
2015-02-19,26.8299942
2015-02-20,4.64999962
2015-02-21,0.00499999989
2015-02-22,0.794999838
2015-02-23,0.0900000036
2015-02-24,0
2015-02-25,0
2015-02-26,0
2015-02-27,21.6249981
2015-02-28,0.49000001
2015-03-01,0.915000021
2015-03-02,45.8300018
2015-03-03,14.2299995
2015-03-04,5.5649991
2015-03-05,2.20499992
2015-03-06,2.0150001
2015-03-07,10.6750002
2015-03-08,0.469999969
2015-03-09,0
2015-03-10,2.95000005
2015-03-11,0.909999967
2015-03-12,5.2949996
2015-03-13,8.0199995
2015-03-14,4.87999916
2015-03-15,16.6749973
2015-03-16,22.7699986
2015-03-17,5.40999937
2015-03-18,6.37999964
2015-03-19,0.694999993
2015-03-20,31.6749973
2015-03-21,4.51000023
2015-03-22,3.17999983
2015-03-23,0.210000008
2015-03-24,0
2015-03-25,14.9050007
2015-03-26,2.09000015
2015-03-27,0
2015-03-28,13.0100002
2015-03-29,0
2015-03-30,0.464999974
2015-03-31,25.8699989
2015-04-01,6.59500027
2015-04-02,3.22000027
2015-04-03,18.4549961
2015-04-04,9.47999954
2015-04-05,0
2015-04-06,9.43999958
2015-04-07,4.9199996
2015-04-08,4.54000044
2015-04-09,0
2015-04-10,0
2015-04-11,6.92000008
2015-04-12,12.1599998
2015-04-13,0.825000048
2015-04-14,47.8949966
2015-04-15,2.94499993
2015-04-16,4.07000017
2015-04-17,11.7550011
2015-04-18,65.640007
2015-04-19,17.9650002
2015-04-20,8.42000008
2015-04-21,1.15499997
2015-04-22,0.9799999
2015-04-23,6.7949996
2015-04-24,1.26499999
2015-04-25,5.14499903
2015-04-26,38.4949989
2015-04-27,16.1349983
2015-04-28,11.4849997
2015-04-29,5.23499918
2015-04-30,1.50999975
2015-05-01,2.95000005
2015-05-02,33.9699974
2015-05-03,32.720005
2015-05-04,25.9549999
2015-05-05,3.14499998
2015-05-06,1.36500001
2015-05-07,5.82500029
2015-05-08,0
2015-05-09,0
2015-05-10,0
2015-05-11,0
2015-05-12,0
2015-05-13,1.32999992
2015-05-14,6.73000002
2015-05-15,15.7150002
2015-05-16,1.02499998
2015-05-17,0
2015-05-18,0
2015-05-19,0
2015-05-20,0
2015-05-21,0
2015-05-22,0
2015-05-23,0
2015-05-24,0
2015-05-25,0
2015-05-26,0
2015-05-27,0
2015-05-28,0
2015-05-29,0
2015-05-30,0
2015-05-31,0
2015-06-01,0.0149999997
2015-06-02,1.3599999
2015-06-03,0
2015-06-04,0.0649999976
2015-06-05,0.114999995
2015-06-06,0.319999993
2015-06-07,2.22000003
2015-06-08,1.46499991
2015-06-09,6.08000088
