time,mean_precipitation
2015-01-01,9.59500122
2015-01-02,15.5750027
2015-01-03,14.5849991
2015-01-04,2.15499997
2015-01-05,9.68000031
2015-01-06,2.71499968
2015-01-07,0.360000014
2015-01-08,0.969999969
2015-01-09,0.594999969
2015-01-10,0.435000002
2015-01-11,0.13499999
2015-01-12,6.71500015
2015-01-13,3.0999999
2015-01-14,0.805000067
2015-01-15,10.9700003
2015-01-16,1.08499992
2015-01-17,4.68500042
2015-01-18,7.35499954
2015-01-19,8.47000027
2015-01-20,79.3849945
2015-01-21,4.32500076
2015-01-22,1.10500002
2015-01-23,0.444999993
2015-01-24,15.4099989
2015-01-25,28.4249992
2015-01-26,3.11000013
2015-01-27,1.38999999
2015-01-28,18.0249977
2015-01-29,48.7999992
2015-01-30,25.6900005
2015-01-31,24.835001
2015-02-01,39.5199966
2015-02-02,28.0099945
2015-02-03,27.9849987
2015-02-04,51.5699959
2015-02-05,25.6850014
2015-02-06,14.5699997
2015-02-07,19.045002
2015-02-08,1.16999996
2015-02-09,0.519999981
2015-02-10,5.24999952
2015-02-11,0.100000009
2015-02-12,37.2400055
2015-02-13,26.1099987
2015-02-14,0.850000024
2015-02-15,2.30000019
2015-02-16,3.1099999
2015-02-17,12.4299984
2015-02-18,36.2049942
2015-02-19,29.784996
2015-02-20,5.09499931
2015-02-21,0
2015-02-22,0.185000002
2015-02-23,0.0149999997
2015-02-24,0
2015-02-25,0
2015-02-26,3.03999996
2015-02-27,9.89999866
2015-02-28,0.36499998
2015-03-01,0.629999995
2015-03-02,38.8249931
2015-03-03,16.125
2015-03-04,4.30999947
2015-03-05,1.5150001
2015-03-06,1.9000001
2015-03-07,8.06000042
2015-03-08,0.894999981
2015-03-09,0
2015-03-10,2.66999984
2015-03-11,0.604999959
2015-03-12,8.29500008
2015-03-13,5.88500023
2015-03-14,6.14999962
2015-03-15,18.7600002
2015-03-16,23.3000011
2015-03-17,10.3299999
2015-03-18,16.5799999
2015-03-19,1.89500022
2015-03-20,19.5299988
2015-03-21,20.6399994
2015-03-22,2.28999996
2015-03-23,0.430000007
2015-03-24,1.15999997
2015-03-25,15.4000015
2015-03-26,1.26999998
2015-03-27,0
2015-03-28,10.5649996
2015-03-29,0.00499999989
2015-03-30,0.5
2015-03-31,23.414999
2015-04-01,4.0250001
2015-04-02,3.56500006
2015-04-03,15.3849983
2015-04-04,4.26999998
2015-04-05,0
2015-04-06,11.4949999
2015-04-07,4.03999996
2015-04-08,2.24999976
2015-04-09,0
2015-04-10,0
2015-04-11,0.935000002
2015-04-12,18.0499973
2015-04-13,1.18499994
2015-04-14,33.9849968
2015-04-15,0.309999973
2015-04-16,2.61500001
2015-04-17,7.83999968
2015-04-18,59.2100029
2015-04-19,16.4049988
2015-04-20,10.0499992
2015-04-21,2.56500006
