time,mean_precipitation
2015-01-01,8.67999935
2015-01-02,14.2950001
2015-01-03,10.75
2015-01-04,1.5
2015-01-05,6.43999958
2015-01-06,1.78499985
2015-01-07,0.0350000001
2015-01-08,4.84500027
2015-01-09,0.179999992
2015-01-10,0.0299999993
2015-01-11,0.119999997
2015-01-12,6.06000042
2015-01-13,0.949999988
2015-01-14,1.33500016
2015-01-15,5.42000008
2015-01-16,0.529999971
2015-01-17,6.13000011
2015-01-18,11.5549984
2015-01-19,8.16999912
2015-01-20,70.5949936
2015-01-21,7.36999989
2015-01-22,2.61999989
2015-01-23,0.0149999997
2015-01-24,31.8650017
2015-01-25,19.3549976
2015-01-26,9.30499935
2015-01-27,0.835000038
2015-01-28,15.3049994
2015-01-29,54.4499969
2015-01-30,21.7450047
2015-01-31,14.4549999
2015-02-01,48.2150116
2015-02-02,17.6949997
2015-02-03,25.1200027
2015-02-04,56.2750015
2015-02-05,11.3299999
2015-02-06,31.4599991
2015-02-07,43.0349998
2015-02-08,2.01999998
2015-02-09,0.899999976
2015-02-10,3.27499962
2015-02-11,0.310000002
2015-02-12,30.795002
2015-02-13,26.6550007
2015-02-14,0.269999981
2015-02-15,3.38999987
2015-02-16,0.370000005
2015-02-17,7.44500065
2015-02-18,25.3599987
2015-02-19,32.2050018
2015-02-20,3.2249999
2015-02-21,0.0149999997
2015-02-22,0
2015-02-23,5.38499928
2015-02-24,0
2015-02-25,0
2015-02-26,21.3100014
2015-02-27,7.10000038
2015-02-28,17.3849983
2015-03-01,2.14999986
2015-03-02,29.6349945
2015-03-03,16.3649998
2015-03-04,2.52499986
2015-03-05,2.7949996
2015-03-06,1.53999996
2015-03-07,5.94000006
2015-03-08,1.32499993
2015-03-09,3.60499978
2015-03-10,5.26000023
2015-03-11,1.67000008
2015-03-12,9.2699995
2015-03-13,3.3499999
2015-03-14,9.02999878
2015-03-15,21.4100037
2015-03-16,29.8300018
2015-03-17,14.039999
2015-03-18,20.1349983
2015-03-19,5.07999945
2015-03-20,11.2750006
2015-03-21,39.8999977
2015-03-22,5.30999994
2015-03-23,0
2015-03-24,0.769999981
2015-03-25,20.0700016
2015-03-26,0.234999999
2015-03-27,0
2015-03-28,12.4099998
2015-03-29,0.0149999997
2015-03-30,0.325000018
2015-03-31,30.7249985
2015-04-01,8.40999985
2015-04-02,5.46999979
2015-04-03,15.1949997
2015-04-04,5.67999983
2015-04-05,0
2015-04-06,27.4700012
2015-04-07,2.1099999
2015-04-08,2.98999977
2015-04-09,0
2015-04-10,0
2015-04-11,7.01000023
2015-04-12,24.1350002
2015-04-13,2.55499983
2015-04-14,6.70999908
2015-04-15,15.5749998
2015-04-16,10.7700005
2015-04-17,2.90500021
2015-04-18,22.2600002
2015-04-19,5.15499973
2015-04-20,22.9500008
2015-04-21,9.875
2015-04-22,0.689999998
2015-04-23,2.63499975
2015-04-24,3.00999999
2015-04-25,4.61999989
2015-04-26,15.9850006
2015-04-27,21.8050022
2015-04-28,12.8800011
2015-04-29,5.57000017
2015-04-30,0.0699999928
2015-05-01,14.8050003
2015-05-02,31.6549988
2015-05-03,24.5250034
2015-05-04,9.40999889
2015-05-05,0
2015-05-06,0.539999962
2015-05-07,0
2015-05-08,0
2015-05-09,0
2015-05-10,0
2015-05-11,0
2015-05-12,0
2015-05-13,0.669999957
2015-05-14,24.989994
2015-05-15,3.53500032
2015-05-16,0
2015-05-17,0
2015-05-18,0
2015-05-19,0
2015-05-20,0
2015-05-21,0
2015-05-22,0
2015-05-23,0
2015-05-24,0
2015-05-25,0
2015-05-26,0
2015-05-27,0
2015-05-28,0
2015-05-29,0
2015-05-30,0
2015-05-31,0
2015-06-01,0
2015-06-02,0
2015-06-03,0
2015-06-04,0
2015-06-05,0
2015-06-06,0.825000048
2015-06-07,3.50999975
2015-06-08,1.19500005
2015-06-09,6.75500011
2015-06-10,1.81999993
2015-06-11,0
2015-06-12,0
2015-06-13,0
2015-06-14,0
2015-06-15,0
2015-06-16,0
2015-06-17,0
2015-06-18,0
2015-06-19,0
2015-06-20,0
2015-06-21,0
2015-06-22,0
2015-06-23,0
2015-06-24,0
2015-06-25,0
2015-06-26,0
2015-06-27,0
2015-06-28,0
2015-06-29,0
2015-06-30,0
2015-07-01,0
2015-07-02,0
2015-07-03,0
2015-07-04,0
2015-07-05,0
2015-07-06,0
2015-07-07,0
2015-07-08,0
2015-07-09,0
2015-07-10,3.57500029
2015-07-11,0
2015-07-12,0.0149999997
2015-07-13,0
2015-07-14,0
2015-07-15,0
2015-07-16,0
2015-07-17,0
2015-07-18,0
2015-07-19,0
2015-07-20,0
2015-07-21,0
2015-07-22,0
2015-07-23,0
2015-07-24,0
2015-07-25,0
2015-07-26,0
2015-07-27,0
2015-07-28,0
2015-07-29,0
2015-07-30,0
2015-07-31,0
2015-08-01,0
2015-08-02,0
2015-08-03,0
2015-08-04,0
2015-08-05,0
2015-08-06,0
2015-08-07,0
2015-08-08,0
2015-08-09,0
2015-08-10,0
2015-08-11,0
2015-08-12,0
2015-08-13,0
2015-08-14,0
2015-08-15,0
2015-08-16,0
2015-08-17,0
2015-08-18,0
2015-08-19,0
2015-08-20,0
2015-08-21,0
2015-08-22,0
2015-08-23,0
2015-08-24,0
2015-08-25,0
2015-08-26,0
2015-08-27,0
2015-08-28,0
2015-08-29,0
2015-08-30,0
2015-08-31,0
2015-09-01,0
2015-09-02,0
2015-09-03,0
2015-09-04,0
2015-09-05,0
2015-09-06,0
2015-09-07,0
2015-09-08,0
2015-09-09,0
2015-09-10,0
2015-09-11,0
2015-09-12,0
2015-09-13,0
2015-09-14,0
2015-09-15,0
2015-09-16,3.98499966
2015-09-17,0
2015-09-18,0
2015-09-19,0
2015-09-20,0
2015-09-21,0
2015-09-22,0
2015-09-23,0
2015-09-24,0
2015-09-25,0
2015-09-26,0
2015-09-27,0
2015-09-28,0
2015-09-29,0
2015-09-30,0
2015-10-01,0
2015-10-02,0
2015-10-03,0
2015-10-04,0
2015-10-05,0
2015-10-06,0
2015-10-07,22.6550007
2015-10-08,0
2015-10-09,0
2015-10-10,0
2015-10-11,0
2015-10-12,0
2015-10-13,0
2015-10-14,0
2015-10-15,0
2015-10-16,0
2015-10-17,0
2015-10-18,0.159999996
2015-10-19,6.15500021
2015-10-20,0
2015-10-21,0
2015-10-22,0
2015-10-23,0
2015-10-24,0
2015-10-25,0
2015-10-26,0
2015-10-27,0
2015-10-28,0
2015-10-29,0
2015-10-30,0.199999988
2015-10-31,0
2015-11-01,0
2015-11-02,0
2015-11-03,0
2015-11-04,0
2015-11-05,3.17999983
2015-11-06,10.0799999
2015-11-07,8.51000023
2015-11-08,63.9449997
2015-11-09,14.1800003
2015-11-10,19.1499977
2015-11-11,7.01000023
2015-11-12,16.5899982
2015-11-13,20.5300007
2015-11-14,0
2015-11-15,1.61999989
2015-11-16,4.23500013
2015-11-17,32.4249992
2015-11-18,0
2015-11-19,2.4749999
2015-11-20,0
2015-11-21,0.875
2015-11-22,0.0149999997
2015-11-23,0
2015-11-24,18.5650005
2015-11-25,22.9749985
2015-11-26,0.310000002
2015-11-27,8.84000015
2015-11-28,1.40999997
2015-11-29,8.29500008
2015-11-30,6.69000006
2015-12-01,1.14499998
2015-12-02,6.28499985
2015-12-03,13.1700001
2015-12-04,3.29999971
2015-12-05,12.9499998
2015-12-06,40.7799988
2015-12-07,12.9950008
2015-12-08,22.0100002
2015-12-09,0
2015-12-10,4.44500017
2015-12-11,28.170002
2015-12-12,18.5550022
2015-12-13,42.4500008
2015-12-14,7.93000031
2015-12-15,10.2299995
2015-12-16,25.8699951
2015-12-17,11.1199989
2015-12-18,2.87000012
2015-12-19,0.119999997
2015-12-20,8.23500061
2015-12-21,0.949999988
2015-12-22,0.00499999989
2015-12-23,1.30999994
2015-12-24,0
2015-12-25,0.820000052
2015-12-26,12.3199997
2015-12-27,18.1550007
2015-12-28,6.32000065
2015-12-29,22.3899994
2015-12-30,9.97499943
2015-12-31,1.45500004
2016-01-01,13.8649998
2016-01-02,13.1399994
2016-01-03,7.57999897
2016-01-04,1.72000003
2016-01-05,1.12499988
2016-01-06,0.0850000009
2016-01-07,0
2016-01-08,0.375
2016-01-09,4.875
2016-01-10,7.63499928
2016-01-11,5.68999958
2016-01-12,15.9949989
2016-01-13,15.0649996
2016-01-14,0.959999979
2016-01-15,1.69499993
2016-01-16,8.42999935
2016-01-17,12.5949993
2016-01-18,2.88999987
2016-01-19,24.6399994
2016-01-20,55.1799927
2016-01-21,3.55999947
2016-01-22,32.3499985
2016-01-23,19.130003
2016-01-24,8.96500015
2016-01-25,2.35499978
2016-01-26,8.63000011
2016-01-27,23.6500015
2016-01-28,0.934999943
2016-01-29,23.1049995
2016-01-30,15.0350018
2016-01-31,2.69500017
2016-02-01,19.4250011
2016-02-02,8.73000145
2016-02-03,15.3400011
2016-02-04,18.0949993
2016-02-05,8.42499924
2016-02-06,45.3749924
2016-02-07,29.569994
2016-02-08,46.6800041
2016-02-09,32.8499985
2016-02-10,15.7799988
2016-02-11,12.5000019
2016-02-12,11.2550011
2016-02-13,10.3100004
2016-02-14,41.4449959
2016-02-15,12.1399994
2016-02-16,11.085
2016-02-17,0.379999995
2016-02-18,3.9749999
2016-02-19,0
2016-02-20,1.6099999
2016-02-21,18.0750008
2016-02-22,23.7149982
2016-02-23,13.7299995
2016-02-24,5.49999952
2016-02-25,0.674999952
2016-02-26,0.0299999993
2016-02-27,2.25
2016-02-28,8.68499947
2016-02-29,19.539999
2016-03-01,22.5450001
2016-03-02,6.92000008
2016-03-03,0.229999989
